page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,2013 39th Annual Northeast Bioengineering Conference,"[381.0, 85.0, 842.0, 111.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,reference_like,reference_numeric_dot,False,False
1,1,doc_title,"Rheological Analysis of Hydrogel Composites
Containing Carbon Nanobrushes","[183.0, 157.0, 1039.0, 257.0]",paper_title,0.8,"[""page-1 zone title_zone: Rheological Analysis of Hydrogel Composites\nContaining Carbo""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,2,text,"William H. Marks¹, Tunc Kiymaz¹, Sze C. Yang², George W. Dombi², Sujata K. Bhatia¹
¹Harvard University, School of Engineering and Applied Sciences, Cambridge, Massachusetts, USA 02138
²University of R","[197.0, 293.0, 1021.0, 390.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: William H. Marks\u00b9, Tunc Kiymaz\u00b9, Sze C. Yang\u00b2, George W. Dom""]",frontmatter_noise,0.8,body_zone,reference_like,citation_line,False,False
1,3,abstract,"Abstract—The objective of this work is to examine the rheological properties of hydrogel composites containing carbon nanobrushes. The composite, which is electrically conductive, is comprised of carb","[107.0, 412.0, 597.0, 869.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,4,abstract,Keywords - carbon nanobrushes; poloxamer hydrogel; rheometry; conductive hydrogel; tissue engineering; wound healing,"[107.0, 888.0, 596.0, 953.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,unknown_like,none,True,True
1,5,paragraph_title,I. INTRODUCTION,"[261.0, 967.0, 457.0, 988.0]",section_heading,0.9,"[""explicit scholarly heading: I. INTRODUCTION""]",section_heading,0.9,body_zone,unknown_like,heading_roman,True,True
1,6,text,"Hydrogels mimic in vivo environments by providing three-dimensional encapsulating scaffolds in which cells can proliferate, maintain normal functioning, and allow for tissue growth [1]. Pluronic F-127","[106.0, 996.0, 596.0, 1208.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,7,text,Kawaguchi showed that alginate gels containing carbon nanotubes exhibited a mild inflammatory response and no cytotoxicity as a tissue engineering platform  $ [5] $; such gels additionally exhibit ele,"[106.0, 1214.0, 597.0, 1383.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,8,text,"the mechanical properties of the gel in addition to making the
gels electrically conductive.","[622.0, 408.0, 1112.0, 452.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,True,True
1,9,paragraph_title,II. MATERIALS AND METHODS A. Materials,"[624.0, 466.0, 1023.0, 521.0]",section_heading,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: II. MATERIALS AND METHODS A. Materials""]",section_heading,0.5,body_zone,unknown_like,none,True,True
1,10,footer,,"[624.0, 500.0, 742.0, 521.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,unknown_like,empty,False,False
1,11,text,"Pluronic F-127 poloxamer (Sigma, USA), carbon nanobrushes (Chemistry Department, University of Rhode Island), Dulbecco's Modified Eagle Medium (DMEM) (Gibco, USA).","[622.0, 525.0, 1112.0, 611.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Pluronic F-127 poloxamer (Sigma, USA), carbon nanobrushes (C""]",affiliation,0.8,body_zone,unknown_like,none,True,True
1,12,paragraph_title,B. Construction of carbon nanobrushes,"[625.0, 621.0, 947.0, 643.0]",subsection_heading,0.9,"[""explicit scholarly heading: B. Construction of carbon nanobrushes""]",subsection_heading,0.9,body_zone,heading_like,heading_alpha,True,True
1,13,text,The carbon nanobrushes (CNB) were constructed by coating carbon nanotubes with a polyaryl polymer brush. The size of the CNB ranges from 5-20µm in length. The diameter of the CNB is 15-30nm. The CNB w,"[622.0, 647.0, 1113.0, 754.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,14,paragraph_title,C. Preparation of poloxamer solution,"[625.0, 764.0, 932.0, 786.0]",section_heading,0.9,"[""explicit scholarly heading: C. Preparation of poloxamer solution""]",section_heading,0.9,body_zone,heading_like,heading_roman,True,True
1,15,text,"The poloxamer solution was prepared as both a 30wt% and 35wt% poloxamer solution. First, pluronic F-127 poloxamer was dissolved in 4°C de-ionized, de-gassed water to make 30wt% and 35wt% solutions whi","[622.0, 790.0, 1114.0, 980.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,16,paragraph_title,D. Preparation of poloxamer hydrogels with carbon nanobrushes,"[624.0, 990.0, 1040.0, 1032.0]",section_heading,0.9,"[""explicit scholarly heading: D. Preparation of poloxamer hydrogels with carbon nanobrushe""]",section_heading,0.9,body_zone,heading_like,heading_roman,True,True
1,17,text,"The poloxamer hydrogels were prepared by pipetting 5mL of solution into each well in a six well plate. Different wells were prepared with different concentrations of CNB, including 0vol%, 0.1vol%, 0.5","[622.0, 1038.0, 1113.0, 1227.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,18,paragraph_title,E. Observation of cellular density and health,"[624.0, 1238.0, 989.0, 1259.0]",subsection_heading,0.9,"[""explicit scholarly heading: E. Observation of cellular density and health""]",subsection_heading,0.9,body_zone,heading_like,heading_alpha,True,True
1,19,text,Fibroblast and myocyte density and health was observed by optical microscopy at various layers of the poloxamer hydrogels after 24 and 48 hours. Visualization was performed through a VWR VistaVision I,"[622.0, 1263.0, 1114.0, 1370.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,20,footnote,Harvard School of Engineering and Applied Sciences,"[133.0, 1423.0, 468.0, 1444.0]",footnote,0.7,"[""footnote label: Harvard School of Engineering and Applied Sciences""]",footnote,0.7,body_zone,unknown_like,none,True,True
1,21,footer,978-0-7695-4964-4/13 $26.00 © 2013 IEEE DOI 10.1109/NEBEC.2013.134,"[95.0, 1478.0, 387.0, 1519.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,unknown_like,none,False,False
1,22,number,109,"[598.0, 1480.0, 627.0, 1498.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,unknown_like,short_fragment,False,False
1,23,footer_image,,"[996.0, 1472.0, 1102.0, 1513.0]",unknown_structural,0.2,"[""unrecognized label 'footer_image'""]",unknown_structural,0.2,body_zone,unknown_like,empty,False,True
2,0,paragraph_title,III. RESULTS AND DISCUSSION A. Frequency sweep testing of hydrogels,"[107.0, 141.0, 504.0, 198.0]",paper_title,0.6,"[""page-1 frontmatter title guard: III. RESULTS AND DISCUSSION A. Frequency sweep testing of hy""]",paper_title,0.6,frontmatter_main_zone,support_like,none,True,True
2,1,footer,,"[107.0, 176.0, 437.0, 198.0]",noise,0.9,"[""footer label""]",noise,0.9,frontmatter_main_zone,support_like,empty,False,False
2,2,text,"30wt% and 35wt% poloxamer gels containing 0vol%, 0.1vol%, 0.5vol%, 1vol%, and 5vol% CNB were tested on an TA AR-G2 Rheometer using a 20mm steel plate and controlled temperatures. Frequency sweeps were","[107.0, 201.0, 596.0, 288.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,3,chart,,"[112.0, 294.0, 589.0, 618.0]",figure_asset,0.85,"[""media label: chart""]",media_asset,0.85,display_zone,unknown_like,empty,True,True
