page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,Bioelectromagnetics 35:426–436 (2014),"[732.0, 109.0, 1088.0, 133.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,doc_title,"Pulsed Electromagnetic Fields Stimulate
Osteogenic Differentiation in Human Bone
Marrow and Adipose Tissue Derived
Mesenchymal Stem Cells","[272.0, 197.0, 914.0, 354.0]",paper_title,0.8,"[""page-1 zone title_zone: Pulsed Electromagnetic Fields Stimulate\nOsteogenic Different""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,2,text,"Alessia Ongaro, $ ^{1*} $ Agnese Pellati, $ ^{1} $ Leila Bagheri, $ ^{1} $ Cinzia Fortini, $ ^{2} $ Stefania Setti, $ ^{3} $ and Monica De Mattei $ ^{1} $","[291.0, 384.0, 894.0, 439.0]",authors,0.8,"[""page-1 zone author_zone: Alessia Ongaro, $ ^{1*} $ Agnese Pellati, $ ^{1} $ Leila Bag""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,3,text," $ ^{1} $Department of Morphology, Surgery and Experimental Medicine, University of Ferrara, Ferrara, Italy
 $ ^{2} $Chair of Cardiology, University of Ferrara, Ferrara, Italy
 $ ^{3} $Laboratory of C","[237.0, 445.0, 947.0, 534.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{1} $Department of Morphology, Surgery and Experimental M""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,4,abstract,Pulsed electromagnetic fields (PEMFs) play a regulatory role on osteoblast activity and are clinically beneficial during fracture healing. Human mesenchymal stem cells (MSCs) derived from different so,"[228.0, 542.0, 960.0, 926.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,5,text,Key words: osteogenic differentiation; pulsed electromagnetic fields; bone marrow mesenchymal stem cells; adipose tissue; mesenchymal stem cells,"[227.0, 950.0, 958.0, 994.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,True,True
1,6,paragraph_title,INTRODUCTION,"[97.0, 1024.0, 256.0, 1048.0]",section_heading,0.9,"[""explicit scholarly heading: INTRODUCTION""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
1,7,text,"Bone tissue engineering is a promising treatment for bone injuries and damage caused by trauma, infections, tumors, and abnormal skeletal developments [Choong et al., 2006; Cancedda et al., 2007]. Mes","[95.0, 1061.0, 587.0, 1448.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,8,text,,"[599.0, 1025.0, 1091.0, 1077.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,body_zone,unknown_like,empty,True,True
1,9,footnote,"Grant sponsor: IGEA, Carpi, Italy.","[600.0, 1124.0, 857.0, 1148.0]",footnote,0.7,"[""footnote label: Grant sponsor: IGEA, Carpi, Italy.""]",footnote,0.7,body_zone,unknown_like,none,True,True
