page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,number,268,"[113.0, 68.0, 146.0, 87.0]",noise,0.9,"[""page number label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,1,header,Annals of the Rheumatic Diseases 1994; 53: 268–275,"[740.0, 66.0, 1108.0, 88.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,paragraph_title,REVIEW,"[112.0, 135.0, 218.0, 162.0]",frontmatter_noise,0.8,"[""page-1 article-type label: review""]",frontmatter_noise,0.8,frontmatter_main_zone,heading_like,short_fragment,False,False
1,3,doc_title,Quantitative radiography of osteoarthritis,"[315.0, 202.0, 963.0, 242.0]",paper_title,0.8,"[""page-1 zone title_zone: Quantitative radiography of osteoarthritis""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,4,text,J C Buckland-Wright,"[312.0, 289.0, 504.0, 315.0]",authors,0.6,"[""page-1 initial-lastname author byline: J C Buckland-Wright""]",authors,0.6,frontmatter_main_zone,support_like,short_fragment,True,True
1,5,footer,"Division of Anatomy and Cell Biology, United Medical and Dental Schools of Guy's and St Thomas's Hospitals, London, United Kingdom J C Buckland-Wright","[112.0, 1346.0, 298.0, 1493.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
1,6,text,"Radiography is important in the diagnosis of osteoarthritis (OA) as the features described in the pathology of the disease can be visualised, with joint space narrowing generally thought to reflect ca","[313.0, 357.0, 706.0, 916.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,7,text,"Scoring systems, although an essential and widely used method for assessing disease progression, suffer from a number of limitations. They are based on two assumptions, first that the change in any on","[313.0, 916.0, 706.0, 1383.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,8,footnote,"Correspondence to:
Dr J C Buckland-Wright,
Division of Anatomy and
Cell Biology,
UMDS, Guy's Hospital,
London Bridge,
London SE1 9RT,
United Kingdom.","[114.0, 1496.0, 275.0, 1610.0]",frontmatter_support,0.75,"[""page-1 correspondence footnote: Correspondence to:\nDr J C Buckland-Wright,\nDivision of Anato""]",frontmatter_support,0.75,body_zone,body_like,none,True,True
1,9,text,Quantitative assessments of the structural changes in peripheral joints with OA are based on measurements of distance and area in the radiographic image. Such measurements are obtained either directly,"[314.0, 1382.0, 706.0, 1610.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Quantitative assessments of the structural changes in periph""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,10,text,"results of their application in quantifying
disease progression are outlined. Where it has
been possible to obtain precise measurements
of changes in x ray features, this has provided
new insight into","[718.0, 358.0, 1112.0, 662.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: results of their application in quantifying\ndisease progress""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,11,paragraph_title,Standard radiography,"[720.0, 700.0, 932.0, 722.0]",section_heading,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: Standard radiography""]",section_heading,0.5,body_zone,heading_like,none,True,True
1,12,text,"The radiographic image is a shadow of the differential absorption of x rays by the tissues of the joint, where radiographic appearance of bony structures appears white to light grey and the radio-tran","[718.0, 722.0, 1112.0, 851.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,13,text,"Advantages Standard radiography is simple, cheap, easily accessible and well understood. The radiographs provide a permanent record which can be assessed at any stage during the disease process permit","[719.0, 850.0, 1112.0, 1022.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,14,text,Limitations The relatively large size of the x ray source of standard x ray tubes (usually 1 mm and at best 0·3 mm in diameter) demands that the object is placed close to the x ray plate resulting in ,"[719.0, 1022.0, 1112.0, 1298.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,15,text,"Apart from those investigators who have developed special stereotaxic devices for examining leg alignment $ ^{11,12} $ or knee joint motion, $ ^{13} $ there is no accepted method for positioning a joi","[719.0, 1298.0, 1114.0, 1609.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Apart from those investigators who have developed special st""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
2,0,header,Quantitative radiography of OA,"[88.0, 62.0, 310.0, 84.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_side_zone,support_like,none,False,False
2,1,number,269,"[1057.0, 61.0, 1089.0, 79.0]",noise,0.9,"[""page number label""]",noise,0.9,frontmatter_side_zone,support_like,short_fragment,False,False
2,2,image,,"[294.0, 111.0, 1087.0, 755.0]",figure_asset,0.85,"[""media label: image""]",media_asset,0.85,body_zone,body_like,empty,True,True
2,3,figure_title,"Figure 1 Standard radiographic appearance of osteoarthritic knee joints showing different degrees of joint space narrowing, subchondral sclerosis and osteophytes. The antero-posterior radiographs of t","[287.0, 770.0, 1088.0, 842.0]",figure_caption,0.92,"[""figure_title label: Figure 1 Standard radiographic appearance of osteoarthritic ""]",figure_caption,0.92,display_zone,legend_like,figure_number,True,True
