page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,doc_title,"SUPERIOR MIGRATION OF THE HUMERAL HEAD
A Radiological Aid in the Diagnosis of Tears of the Rotator Cuff","[337.0, 257.0, 891.0, 318.0]",paper_title,0.8,"[""page-1 zone title_zone: SUPERIOR MIGRATION OF THE HUMERAL HEAD\nA Radiological Aid in""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,1,text,"Dennis S. Weiner, $ ^{*} $ Akron, Ohio, United States of America","[343.0, 342.0, 889.0, 365.0]",authors,0.8,"[""page-1 zone author_zone: Dennis S. Weiner, $ ^{*} $ Akron, Ohio, United States of Ame""]",authors,0.8,body_zone,reference_like,citation_line,True,True
1,2,text,and,"[597.0, 368.0, 636.0, 388.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,3,text,"Ian Macnab, † Toronto, Ontario, Canada","[421.0, 390.0, 809.0, 414.0]",authors,0.8,"[""page-1 zone author_zone: Ian Macnab, \u2020 Toronto, Ontario, Canada""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,4,text,"From the Wellesley Hospital, Toronto","[480.0, 424.0, 754.0, 445.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: From the Wellesley Hospital, Toronto""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,text,"The diagnosis of tears of the rotator cuff of the shoulder is often indecisive, and frequently neglected because of the difficulty that is encountered in verifying lesions without surgical exploration","[215.0, 466.0, 1015.0, 584.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,6,text,In 1962 Golding described an observation made on plain radiography that we believe is not only valid but can often help in the search for the causative lesion. It is the purpose of this report to reit,"[216.0, 586.0, 1016.0, 680.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,7,text,"Several findings noted in plain radiographs have been associated with tears of the rotator cuff (Codman 1934, Harrison 1949, Golding 1962, Cotton and Rideout 1964, Kernwein 1965). They include scleros","[214.0, 682.0, 1015.0, 777.0]",frontmatter_support,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,8,image,,"[223.0, 794.0, 567.0, 1183.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,body_zone,unknown_like,empty,True,True
1,9,vision_footnote,Drawing of acromio-humeral interval.,"[253.0, 1211.0, 533.0, 1230.0]",footnote,0.7,"[""vision_footnote label: Drawing of acromio-humeral interval.""]",footnote,0.7,body_zone,body_like,none,True,True
1,10,text,"greater tuberosity, irregular new bone formation on the lateral margin of the acromion, and narrowing of the acromio-humeral interval. It is the latter observation, first made by Golding and emphasise","[584.0, 778.0, 1014.0, 919.0]",non_body_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,False,False
1,11,text,The musculo-tendinous rotator cuff is inserted into the tuberosities of the head of the humerus along the upper two-thirds of the anatomical neck. The interval between the superior articular surface o,"[584.0, 921.0, 1015.0, 1229.0]",non_body_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,False,False
1,12,text,The supraspinatus initiates abduction of the,"[624.0, 1231.0, 1014.0, 1253.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,13,text,"shoulder and is active through the entire range of abduction (Inman, Saunders and Abbot 1944, Basmajian 1963, 1967). Its ability to perform in abduction is a reflection of its action on the gleno-hume","[215.0, 1252.0, 1016.0, 1325.0]",non_body_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,False,False
1,14,footnote,"* Clinical Research Fellow, Workmen's Compensation Board, Ontario.","[350.0, 1346.0, 871.0, 1367.0]",footnote,0.7,"[""footnote label: * Clinical Research Fellow, Workmen's Compensation Board, On""]",footnote,0.7,body_zone,body_like,none,True,True
1,15,footnote,"† Chief of Division of Orthopaedic Service, Wellesley Hospital, Toronto, Ontario.","[351.0, 1370.0, 949.0, 1391.0]",footnote,0.7,"[""footnote label: \u2020 Chief of Division of Orthopaedic Service, Wellesley Hospit""]",footnote,0.7,body_zone,body_like,none,True,True
1,16,number,524,"[218.0, 1406.0, 250.0, 1423.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
1,17,footer,THE JOURNAL OF BONE AND JOINT SURGERY,"[694.0, 1409.0, 1014.0, 1426.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
2,0,header,SUPERIOR MIGRATION OF THE HUMERAL HEAD,"[402.0, 124.0, 779.0, 144.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_side_zone,support_like,none,False,False
2,1,number,525,"[953.0, 122.0, 988.0, 143.0]",noise,0.9,"[""page number label""]",noise,0.9,frontmatter_side_zone,support_like,short_fragment,False,False
2,2,text,"provide a fulcrum for abduction of the arm (Watson-Jones 1955, DePalma 1963, van Linge and Mulder 1963, Heikel 1968, Macnab and Hastings 1968). Van Linge and Mulder (1963), however, demonstrated in te","[187.0, 162.0, 989.0, 261.0]",authors,0.8,"[""page-1 zone author_zone: provide a fulcrum for abduction of the arm (Watson-Jones 195""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
2,3,paragraph_title,METHOD,"[545.0, 292.0, 634.0, 314.0]",unknown_structural,0.6,"[""unnumbered paragraph_title, inferred level section_heading: METHOD""]",section_heading,0.6,frontmatter_side_zone,support_like,short_fragment,False,True
2,4,text,The basic intention of our radiological study was to determine the relationship between a narrowed acromio-humeral interval and a tear of the rotator cuff (Fig. 1). Standard anteroposterior views of t,"[188.0, 320.0, 989.0, 394.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,5,chart,,"[328.0, 412.0, 846.0, 715.0]",figure_asset,0.85,"[""media label: chart""]",media_asset,0.85,body_zone,body_like,empty,True,True
2,6,figure_title,Fig. 2,"[561.0, 722.0, 616.0, 739.0]",figure_caption,0.92,"[""figure_title label: Fig. 2""]",figure_caption,0.92,display_zone,legend_like,figure_number,True,True
2,7,figure_title,Bar graph representation of the acromio-humeral interval in sixty normal patients.,"[331.0, 742.0, 843.0, 781.0]",figure_caption,0.85,"[""figure_title label: Bar graph representation of the acromio-humeral interval in ""]",figure_caption,0.85,body_zone,legend_like,none,True,True
2,8,chart,,"[330.0, 798.0, 844.0, 1099.0]",figure_asset,0.85,"[""media label: chart""]",media_asset,0.85,body_zone,body_like,empty,True,True
2,9,figure_title,Fig. 3,"[565.0, 1105.0, 618.0, 1122.0]",figure_caption,0.92,"[""figure_title label: Fig. 3""]",figure_caption,0.92,display_zone,legend_like,figure_number,True,True
2,10,figure_title,Bar graph representation of acromio-humeral interval in fifty-nine patients with known rotator cuff tears.,"[331.0, 1125.0, 849.0, 1163.0]",figure_caption_candidate,0.85,"[""figure_title label: Bar graph representation of acromio-humeral interval in fift""]",figure_caption,0.85,body_zone,legend_like,none,False,False
