page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,text,单位代码：11810,"[177.0, 148.0, 367.0, 177.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,1,text,学号：2000302111,"[177.0, 184.0, 424.0, 214.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,2,text,分类号：R655.8,"[801.0, 148.0, 978.0, 178.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,3,text,密级：公开,"[801.0, 184.0, 955.0, 215.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,4,image,,"[519.0, 312.0, 671.0, 454.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,5,image,,"[359.0, 501.0, 834.0, 591.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,6,doc_title,硕士学位论文,"[280.0, 645.0, 908.0, 726.0]",unknown_structural,0.2,"[""unrecognized label 'doc_title'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,short_fragment,False,True
1,7,doc_title,人工智能辅助决策系统在髋关节置换术的临床应用研究,"[204.0, 757.0, 985.0, 799.0]",paper_title,0.6,"[""page-1 frontmatter title guard: \u4eba\u5de5\u667a\u80fd\u8f85\u52a9\u51b3\u7b56\u7cfb\u7edf\u5728\u9acb\u5173\u8282\u7f6e\u6362\u672f\u7684\u4e34\u5e8a\u5e94\u7528\u7814\u7a76""]",paper_title,0.6,frontmatter_main_zone,support_like,none,True,True
1,8,text,院（系）、所 ___ 研究生院,"[345.0, 875.0, 855.0, 928.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,9,text,研究生姓名 ___ 颜震,"[345.0, 939.0, 855.0, 993.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,10,text,学科、专业 2020级专硕,"[346.0, 1002.0, 855.0, 1054.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,11,text,学位类型 专业型学位,"[346.0, 1066.0, 854.0, 1116.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,12,text,指导教师 付昆,"[346.0, 1130.0, 854.0, 1184.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,13,text,二〇二三年五月,"[486.0, 1256.0, 703.0, 1292.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,14,footer,中国知网 https://www.cnki.net,"[37.0, 1621.0, 384.0, 1651.0]",noise,0.9,"[""footer label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
2,0,header,海南医学院硕士学位论文,"[491.0, 85.0, 698.0, 108.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
2,1,text,学位论文题目：,"[176.0, 218.0, 378.0, 254.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,,unknown_like,short_fragment,False,True
2,2,text,人工智能辅助决策系统在髋关节置换术的临床应用研究,"[175.0, 280.0, 906.0, 318.0]",unknown_structural,0.8,"[""page-1 zone title_zone: \u4eba\u5de5\u667a\u80fd\u8f85\u52a9\u51b3\u7b56\u7cfb\u7edf\u5728\u9acb\u5173\u8282\u7f6e\u6362\u672f\u7684\u4e34\u5e8a\u5e94\u7528\u7814\u7a76""]",paper_title,0.8,frontmatter_main_zone,support_like,none,False,True
2,3,text,学位申请人姓名：颜震,"[176.0, 621.0, 487.0, 658.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,,unknown_like,short_fragment,False,True
2,4,text,学位申请人专业：外科学（骨科方向）,"[175.0, 685.0, 681.0, 722.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,,unknown_like,short_fragment,False,True
2,5,text,指导老师姓名及职称：付昆主任医师,"[176.0, 748.0, 666.0, 786.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,,unknown_like,short_fragment,False,True
2,6,text,答辩委员会主席：金旭红教授,"[175.0, 997.0, 578.0, 1035.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,,unknown_like,short_fragment,False,True
2,7,text,答辩委员会成员：崔红旺教授、于鹏教授,"[175.0, 1060.0, 727.0, 1098.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,,unknown_like,short_fragment,False,True
2,8,text,论文答辩日期：2023年06月05日,"[175.0, 1310.0, 726.0, 1346.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,,unknown_like,short_fragment,False,True
2,9,footer,中国知网 https://www.cnki.net,"[37.0, 1621.0, 385.0, 1650.0]",noise,0.9,"[""footer label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
3,0,paragraph_title,目录,"[546.0, 204.0, 648.0, 244.0]",sub_subsection_heading,0.6,"[""unnumbered paragraph_title, inferred level sub_subsection_heading: \u76ee\u5f55""]",sub_subsection_heading,0.6,body_zone,heading_like,short_fragment,True,True
3,1,content,"前言.....1  
1 资料与方法.....4  
1.1 纳入与排除标准.....4  
1.2 一般资料.....5  
1.3 主要设备.....5  
1.4 数据获取.....5  
1.4.1 影像学数据拍摄.....5  
1.4.2 影像学测量参数.....6  
2 研究方法.....7  
2.1 术前规划方式.....7  
2.1.1 AIHIP 规划.....7  
2","[170.0, 284.0, 1020.0, 1514.0]",unknown_structural,0.2,"[""unrecognized label 'content'""]",unknown_structural,0.2,,unknown_like,none,False,True
3,2,footer,中国知网 https://www.cnki.net,"[37.0, 1620.0, 384.0, 1651.0]",noise,0.9,"[""footer label""]",noise,0.9,,unknown_like,none,False,False
4,0,content,"综述 全髋关节置换术前规划方式的研究与进展 ..... 37
综述参考文献 ..... 45
附录 Harris 髋关节功能评分(百分制) ..... 49","[178.0, 147.0, 1016.0, 252.0]",unknown_structural,0.2,"[""unrecognized label 'content'""]",unknown_structural,0.2,,unknown_like,none,False,True
4,1,footer,中国知网 https://www.cnki.net,"[38.0, 1621.0, 384.0, 1650.0]",noise,0.9,"[""footer label""]",noise,0.9,,unknown_like,none,False,False
5,0,header,海南医学院硕士学位论文,"[493.0, 85.0, 697.0, 108.0]",noise,0.9,"[""header label""]",noise,0.9,,unknown_like,short_fragment,False,False
5,1,paragraph_title,缩略语,"[544.0, 155.0, 647.0, 192.0]",sub_subsection_heading,0.6,"[""unnumbered paragraph_title, inferred level sub_subsection_heading: \u7f29\u7565\u8bed""]",sub_subsection_heading,0.6,body_zone,heading_like,short_fragment,True,True
5,2,table,<table><tr><td>英文缩写</td><td>英文全称</td><td>中文全称</td></tr><tr><td>THA</td><td>Total Hip Arthroplasty</td><td>全髋关节置换术</td></tr><tr><td>AI</td><td>Artificial Intelligence</td><td>人工智能</td></tr><tr><td>CT</,"[169.0, 324.0, 1023.0, 936.0]",media_asset,0.85,"[""media label: table""]",media_asset,0.85,,unknown_like,none,True,True
5,3,footer,中国知网 https://www.cnki.net,"[38.0, 1621.0, 384.0, 1651.0]",noise,0.9,"[""footer label""]",noise,0.9,,unknown_like,none,False,False
5,4,number,1,"[590.0, 1565.0, 601.0, 1585.0]",noise,0.9,"[""page number label""]",noise,0.9,,unknown_like,short_fragment,False,False
6,0,header,海南医学院硕士学位论文,"[492.0, 85.0, 698.0, 108.0]",noise,0.9,"[""header label""]",noise,0.9,,unknown_like,short_fragment,False,False
6,1,doc_title,人工智能辅助决策系统在髋关节置换术的临床应用研究,"[204.0, 216.0, 985.0, 256.0]",unknown_structural,0.2,"[""unrecognized label 'doc_title'""]",unknown_structural,0.2,,unknown_like,none,False,True
6,2,paragraph_title,摘要,"[553.0, 341.0, 637.0, 379.0]",sub_subsection_heading,0.6,"[""unnumbered paragraph_title, inferred level sub_subsection_heading: \u6458\u8981""]",sub_subsection_heading,0.6,body_zone,heading_like,short_fragment,True,True
6,3,abstract,"【目的】：与二维数字化模板（Two-dimensional digital template, TDTD）术前规划比较，探讨人工智能辅助决策系统（Artificial intelligence system, AIS）在初次全髋关节置换术假体植入中临床应用的准确性与有效性。

【方法】：对2020年6月至2022年12月收治的因髋关节疾病需行初次全髋关节置换100例患者进行前瞻性研究，将符合纳入标","[175.0, 463.0, 1017.0, 912.0]",unknown_structural,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,,unknown_like,none,False,True
6,4,abstract,【结果】：所有患者术后随访6个月，切口均一期愈合。两组患者手术部位、年龄、性别、体重指数（BMI）和髋关节Harris评分等一般资料比较的差异均无统计学意义（P>0.05）。影像学测量结果显示两组术后髋臼假体外展角比较无统计学意义（P>0.05），术后股骨柄-髓腔轴线夹角比较无统计学意义（P>0.05），术后股骨柄-髓腔比差异有统计学意义（P<0.05）。AI组和2D组术前术后双下肢长度比较差异明,"[174.0, 930.0, 1017.0, 1526.0]",unknown_structural,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,,unknown_like,none,False,True
6,5,number,||,"[587.0, 1565.0, 604.0, 1585.0]",noise,0.9,"[""page number label""]",noise,0.9,,unknown_like,short_fragment,False,False
6,6,footer,中国知网 https://www.cnki.net,"[37.0, 1621.0, 385.0, 1650.0]",noise,0.9,"[""footer label""]",noise,0.9,,unknown_like,none,False,False
7,0,header,海南医学院硕士学位论文,"[492.0, 86.0, 697.0, 108.0]",noise,0.9,"[""header label""]",noise,0.9,,unknown_like,short_fragment,False,False
7,1,abstract,【结论】：AIHIP 系统可对 THA 手术实现精准规划，与二维数字化模板相比，具有更高的精确性和有效性，可辅助术者在 THA 手术中缩短手术时间，减少术中出血量，促进患者术后髋关节功能恢复。,"[179.0, 150.0, 1012.0, 276.0]",unknown_structural,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,,unknown_like,none,False,True
7,2,text,关键词：全髋关节置换术；人工智能；术前规划,"[178.0, 377.0, 688.0, 407.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,unknown_like,none,True,True
7,3,number,Ⅲ,"[587.0, 1566.0, 604.0, 1584.0]",noise,0.9,"[""page number label""]",noise,0.9,,unknown_like,short_fragment,False,False
7,4,footer,中国知网 https://www.cnki.net,"[38.0, 1622.0, 384.0, 1650.0]",noise,0.9,"[""footer label""]",noise,0.9,,unknown_like,none,False,False
8,0,header,海南医学院硕士学位论文,"[492.0, 85.0, 698.0, 108.0]",noise,0.9,"[""header label""]",noise,0.9,,unknown_like,short_fragment,False,False
8,1,doc_title,"Clinical application research of artificial intelligence
assisted decision-making system in hip replacement","[187.0, 216.0, 1001.0, 323.0]",unknown_structural,0.2,"[""unrecognized label 'doc_title'""]",unknown_structural,0.2,,unknown_like,none,False,True
8,2,paragraph_title,ABSTRACT,"[516.0, 465.0, 676.0, 504.0]",abstract_heading,0.95,"[""abstract heading""]",abstract_heading,0.95,,heading_like,short_fragment,True,True
8,3,abstract,"[Objective]: To compare the preoperative planning with the two-dimensional digital template (TDTD), and investigate the accuracy and effectiveness of Artificial intelligence system (AIS) in the clinic","[174.0, 584.0, 1011.0, 746.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,,unknown_like,none,True,True
8,4,abstract,"[Methods]: From June 2020 to December 2022, a prospective study was conducted on 100 patients who needed primary total hip replacement due to hip joint disease, and patients who met the inclusion crit","[174.0, 761.0, 1011.0, 1173.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,,unknown_like,none,True,True
8,5,abstract,"[Results]: All patients were followed up for 6 months, and the incisions healed by first intention. There was no significant difference in general data such as surgical site, age, gender, body mass in","[173.0, 1188.0, 1012.0, 1514.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,,unknown_like,none,True,True
8,6,number,IV,"[585.0, 1565.0, 607.0, 1585.0]",noise,0.9,"[""page number label""]",noise,0.9,,unknown_like,short_fragment,False,False
8,7,footer,中国知网 https://www.cnki.net,"[37.0, 1621.0, 384.0, 1650.0]",noise,0.9,"[""footer label""]",noise,0.9,,unknown_like,none,False,False
9,0,header,海南医学院硕士学位论文,"[492.0, 85.0, 698.0, 108.0]",noise,0.9,"[""header label""]",noise,0.9,,unknown_like,short_fragment,False,False
9,1,abstract,"difference in the length of the lower limbs between the AI group and the 2D group before and after operation, both of which were statistically significant (P<0.05). The accuracy rates of acetabular pr","[175.0, 141.0, 1011.0, 675.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,,unknown_like,none,True,True
9,2,abstract,"[Conclusion]: The AIHIP system can achieve precise planning for THA surgery. Compared with the two-dimensional digital template, it has higher accuracy and effectiveness. It can assist the operator to","[174.0, 695.0, 1011.0, 894.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,,unknown_like,none,True,True
9,3,text,Keywords: total hip replacement; artificial intelligence; preoperative planning,"[177.0, 1011.0, 932.0, 1042.0]",structured_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,unknown_like,none,False,False
9,4,number,V,"[587.0, 1565.0, 603.0, 1583.0]",figure_inner_text,0.9,"[""panel label / figure inner text: V""]",figure_inner_text,0.9,display_zone,legend_like,panel_label,True,True
9,5,footer,中国知网 https://www.cnki.net,"[38.0, 1621.0, 384.0, 1650.0]",noise,0.9,"[""footer label""]",noise,0.9,,unknown_like,none,False,False
10,0,paragraph_title,前言,"[557.0, 151.0, 631.0, 194.0]",sub_subsection_heading,0.6,"[""unnumbered paragraph_title, inferred level sub_subsection_heading: \u524d\u8a00""]",sub_subsection_heading,0.6,body_zone,heading_like,short_fragment,True,True
10,1,abstract,全髋关节置换术（Total hip arthroplasty，THA）是二十世纪外科手术中最成功的可重复和频繁进行的手术方式之一 $ ^{[1]} $。全髋关节置换术是治疗髋关节畸形、骨关节炎、股骨颈骨折、股骨头坏死、先天性髋关节畸形等髋关节病的有效方法之一 $ ^{[2]} $。由于髋是一种有着独特的解剖学及生物机械特性的复合关节，所以很难对其进行完整的关节活动及受力状态的恢复。2021年美国关,"[175.0, 212.0, 1017.0, 621.0]",unknown_structural,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,,unknown_like,none,False,True
