page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,Kwon et al. Molecular Brain (2024) 17:50 https://doi.org/10.1186/s13041-024-01125-2,"[109.0, 66.0, 414.0, 108.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
1,1,header,Molecular Brain,"[912.0, 65.0, 1081.0, 94.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,2,text,MICRO REPORT,"[116.0, 182.0, 335.0, 211.0]",authors,0.6,"[""page-1 initial-lastname author byline: MICRO REPORT""]",authors,0.6,frontmatter_main_zone,support_like,short_fragment,True,True
1,3,text,Open Access,"[922.0, 183.0, 1075.0, 212.0]",frontmatter_noise,0.7,"[""frontmatter noise text: Open Access""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,short_fragment,False,False
1,4,doc_title,"Intraplantar aminoglutethimide, a P450scc inhibitor, reduced the induction of mechanical allodynia in a rat model of thrombus-induced ischemic pain","[107.0, 246.0, 995.0, 453.0]",paper_title,0.8,"[""page-1 zone title_zone: Intraplantar aminoglutethimide, a P450scc inhibitor, reduced""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,image,,"[1019.0, 226.0, 1077.0, 283.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,6,text,"Soon-Gu Kwon $ ^{1†} $, Hoon-Seong Choi $ ^{2†} $, Seo-Yeon Yoon $ ^{3} $, Dae-Hyun Roh $ ^{4*} $ $ ^{ID} $ and Jang-Hern Lee $ ^{5*} $","[107.0, 489.0, 906.0, 518.0]",authors,0.8,"[""page-1 zone author_zone: Soon-Gu Kwon $ ^{1\u2020} $, Hoon-Seong Choi $ ^{2\u2020} $, Seo-Yeon ""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,7,paragraph_title,Abstract,"[121.0, 570.0, 209.0, 593.0]",abstract_heading,0.95,"[""abstract heading""]",abstract_heading,0.95,frontmatter_main_zone,heading_like,short_fragment,True,True
1,8,abstract,"Neuroactive steroids (NASs) directly affect neuronal excitability. Despite their role in the nervous system is intimately linked to pain control, knowledge is currently limited. This study investigate","[120.0, 593.0, 1061.0, 842.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,9,text,"Keywords Ischemic pain, Neuroactive steroid, Aminoglutethimide, Cytochrome P450 side-chain cleavage, Sigma-1 receptor","[120.0, 840.0, 1048.0, 890.0]",structured_insert,0.7,"[""keyword-like block: Keywords Ischemic pain, Neuroactive steroid, Aminoglutethimi""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
