page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,aside_text,Downloaded from www.ajronline.org by 23.132.124.130 on 01/13/26 from IP address 23.132.124.130. Copyright ARRS. For personal use only; all rights reserved,"[0.0, 255.0, 22.0, 1311.0]",noise,0.95,"[""margin-band narrow/tall geometry; treated as noise""]",noise,0.95,frontmatter_main_zone,support_like,none,False,False
1,1,header,Musculoskeletal Imaging • Original Research,"[422.0, 43.0, 886.0, 69.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,doc_title,Predictive Factors of Retear in Patients With Repaired Rotator Cuff Tear on Shoulder MRI,"[423.0, 285.0, 1029.0, 413.0]",paper_title,0.8,"[""page-1 zone title_zone: Predictive Factors of Retear in Patients With Repaired Rotat""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,3,text,"Yun Kyung Shin $ ^{1} $
Kyung Nam Ryu $ ^{1} $
Ji Seon Park $ ^{1} $
Wook Jin $ ^{2} $
So Young Park $ ^{2} $
Young Cheol Yoon $ ^{3} $","[74.0, 453.0, 233.0, 601.0]",authors,0.8,"[""page-1 zone author_zone: Yun Kyung Shin $ ^{1} $\nKyung Nam Ryu $ ^{1} $\nJi Seon Park ""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,4,text,"Keywords: acromiohumeral interval, MRI, retear, retraction, rotator cuff, shoulder","[73.0, 900.0, 357.0, 941.0]",frontmatter_noise,0.7,"[""keyword-like block: Keywords: acromiohumeral interval, MRI, retear, retraction, ""]",frontmatter_noise,0.7,body_zone,body_like,none,False,False
1,5,text,doi.org/10.2214/AJR.17.17915,"[74.0, 954.0, 247.0, 976.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,6,text,"Received January 5, 2017; accepted after revision May 23, 2017.","[73.0, 991.0, 362.0, 1030.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Received January 5, 2017; accepted after revision May 23, 20""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,7,text," $ ^{1} $Department of Radiology, Kyung Hee University Hospital, College of Medicine, Kyung Hee University, 23, Kyungheedae-ro, Dongdaemun-gu, Seoul 02447, Republic of Korea. Address correspondence to","[74.0, 1046.0, 378.0, 1140.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: $ ^{1} $Department of Radiology, Kyung Hee University Hospit""]",frontmatter_noise,0.8,body_zone,body_like,affiliation_marker,False,False
1,8,text," $ ^{2} $Department of Radiology, Kyung Hee University Hospital at Gandong, College of Medicine, Kyung Hee University, Seoul, Republic of Korea.","[73.0, 1153.0, 404.0, 1212.0]",frontmatter_noise,0.85,"[""affiliation block: $ ^{2} $Department of Radiology, Kyung Hee University Hospit""]",frontmatter_noise,0.85,body_zone,body_like,affiliation_marker,False,False
1,9,text," $ ^{3} $Department of Radiology, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Republic of Korea.","[73.0, 1226.0, 383.0, 1283.0]",frontmatter_noise,0.85,"[""affiliation block: $ ^{3} $Department of Radiology, Samsung Medical Center, Sun""]",frontmatter_noise,0.85,body_zone,body_like,affiliation_marker,False,False
