page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,RESEARCH METHODS AND REPORTING,"[660.0, 58.0, 1122.0, 84.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,header_image,,"[118.0, 188.0, 176.0, 261.0]",non_body_insert,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,False
1,2,doc_title,A guide to systematic review and meta-analysis of prediction model performance,"[277.0, 151.0, 1073.0, 229.0]",paper_title,0.8,"[""page-1 zone title_zone: A guide to systematic review and meta-analysis of prediction""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,3,text," $ ^{1} $Cochrane Netherlands, University Medical Center Utrecht, PO Box 85500 Str 6.131, 3508 GA Utrecht, Netherlands","[65.0, 329.0, 229.0, 418.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{1} $Cochrane Netherlands, University Medical Center Utre""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,4,text,"Julius Center for Health Sciences and Primary Care, University Medical Center Utrecht, PO Box 85500 Str 6.131, 3508 GA Utrecht, Netherlands
Thomas P A Debray, $ ^{1,2} $ Johanna A A G Damen, $ ^{1,2} ","[64.0, 420.0, 238.0, 525.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Julius Center for Health Sciences and Primary Care, Universi""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,text,,"[276.0, 244.0, 1035.0, 298.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,frontmatter_main_zone,support_like,empty,True,True
1,6,text," $ ^{3} $Research Institute for Primary Care and Health Sciences, Keele University, Staffordshire, UK","[65.0, 527.0, 262.0, 581.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{3} $Research Institute for Primary Care and Health Scien""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,7,text,"Correspondence to: T P A Debray T.Debray@umcutrecht.nl
Additional material is published online only. To view please visit the journal online.","[64.0, 583.0, 264.0, 675.0]",frontmatter_support,0.78,"[""first-surviving-page support text: Correspondence to: T P A Debray T.Debray@umcutrecht.nl\nAddit""]",frontmatter_support,0.78,frontmatter_main_zone,support_like,none,True,True
1,8,text,Cite this as: BMJ 2017;356:i6460 http://dx.doi.org/10.1136/bmj.i6460,"[64.0, 678.0, 264.0, 714.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,True,True
1,9,text,"Accepted: 25 November 2016
Validation of prediction models is highly recommended and increasingly common in the literature. A systematic review of validation studies is therefore helpful, with meta-an","[65.0, 722.0, 248.0, 743.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Accepted: 25 November 2016\nValidation of prediction models i""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,10,text,,"[276.0, 323.0, 690.0, 1104.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,frontmatter_main_zone,support_like,empty,True,True
1,11,text,"Systematic reviews and meta-analysis are an important—if not the most important—source of information for evidence based medicine. $ ^{1} $ Traditionally, they aim to summarise the results of publicat","[278.0, 1113.0, 696.0, 1229.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,12,paragraph_title,SUMMARY POINTS,"[73.0, 1265.0, 235.0, 1289.0]",structured_insert,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: SUMMARY POINTS""]",section_heading,0.5,body_zone,heading_like,short_fragment,False,False
1,13,text,Systematic review of the validation studies of a prediction model might help to identify whether its predictions are sufficiently accurate across different settings and populations,"[71.0, 1296.0, 666.0, 1366.0]",structured_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,False,False
1,14,text,"Efforts should be made to restore missing information from validation studies and to harmonise the extracted performance statistics
diagnostic test accuracy studies. Compared to therapeutic interventi","[71.0, 1368.0, 673.0, 1414.0]",structured_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,False,False
1,15,text,,"[708.0, 322.0, 1124.0, 412.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,frontmatter_main_zone,support_like,empty,True,True
1,16,text,Heterogeneity should be expected when summarising estimates of a model's predictive performance,"[71.0, 1417.0, 641.0, 1462.0]",structured_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,False,False
1,17,text,"Meta-analysis should primarily be used to investigate variation across validation study results
A common aim of primary prognostic studies concerns the development of so-called prognostic prediction m","[71.0, 1466.0, 664.0, 1511.0]",structured_insert,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,False,False
1,18,text,,"[709.0, 413.0, 1125.0, 751.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,frontmatter_main_zone,support_like,empty,True,True
1,19,text,"Previous guidance papers regarding methods for systematic reviews of predictive modelling studies have addressed the searching, $ ^{3-5} $ design, $ ^{2} $ data extraction, and critical appraisal $ ^{","[709.0, 752.0, 1126.0, 1001.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,20,text,"Although systematic reviews of prediction modelling studies are increasingly common, $ ^{12-17} $ researchers often refrain from undertaking a quantitative synthesis or meta-analysis of the predictive","[709.0, 1001.0, 1125.0, 1203.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,21,text,"Based on previous publications, we therefore first describe how to define the systematic review question, to identify the relevant prediction modelling studies from the literature $ ^{35} $ and to cri","[709.0, 1203.0, 1128.0, 1520.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,22,footer,thebmj | BMJ2017;356:i6460 | doi:10.1136/bmj.i6460,"[65.0, 1544.0, 411.0, 1563.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
1,23,number,1,"[1113.0, 1545.0, 1125.0, 1563.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
1,24,aside_text,"BMJ: first published as 10.1136/bmj.i6460 on 5 January 2017. Downloaded from https://www.bmj.com/ on 27 January 2026 by guest.
Protected by copyright, including for uses related to text and data minin","[1133.0, 231.0, 1173.0, 1358.0]",noise,0.95,"[""margin-band narrow/tall geometry; treated as noise""]",noise,0.95,body_zone,body_like,none,False,False
2,0,header,RESEARCH METHODS AND REPORTING,"[69.0, 59.0, 530.0, 83.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
2,1,text,We subsequently discuss how to quantitatively summarise the extracted predictive performance estimates and investigate sources of between-study heterogeneity. The different steps are summarised in fig,"[277.0, 142.0, 696.0, 528.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,2,paragraph_title,Empirical example,"[278.0, 549.0, 421.0, 569.0]",subsection_heading,0.6,"[""unnumbered paragraph_title, inferred level subsection_heading: Empirical example""]",subsection_heading,0.6,body_zone,body_like,short_fragment,True,True
2,3,text,"As mentioned earlier, we illustrate our guidance using a published review of studies validating EuroSCORE. $ ^{13} $ This prognostic model aims to predict 30 day mortality in patients undergoing any t","[277.0, 571.0, 696.0, 911.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,4,text,"In this paper, we focus on the validation studies that examined the predictive performance of the so-called additive EuroSCORE system in patients undergoing (only) coronary artery bypass grafting (CAB","[278.0, 911.0, 695.0, 1070.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,5,paragraph_title,Steps of the systematic review Formulating the review question and protocol,"[278.0, 1090.0, 642.0, 1135.0]",subsection_heading,0.6,"[""unnumbered paragraph_title, inferred level subsection_heading: Steps of the systematic review Formulating the review questi""]",subsection_heading,0.6,body_zone,body_like,none,True,True
2,6,footer,,"[278.0, 1114.0, 642.0, 1135.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,empty,False,False
2,7,text,"As for any other type of biomedical research, it is strongly recommended to start with a study protocol describing the rationale, objectives, design, methodology, and statistical considerations of the","[277.0, 1135.0, 696.0, 1521.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,8,image,,"[719.0, 148.0, 1115.0, 1159.0]",figure_asset,0.85,"[""media label: image""]",media_asset,0.85,body_zone,body_like,empty,True,True
2,9,figure_title,"Fig 1 | Flowchart for systematically reviewing and, if considered appropriate, meta-analysis of the validation studies of a prediction model. CHARMS=checklist for critical appraisal and data extractio","[710.0, 1179.0, 1122.0, 1424.0]",figure_caption,0.92,"[""figure_title label: Fig 1 | Flowchart for systematically reviewing and, if consi""]",figure_caption,0.92,display_zone,legend_like,figure_number,True,True
