page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,frontiers Frontiers in Bioengineering and Biotechnology,"[97.0, 78.0, 656.0, 112.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,header,"TYPE Review
PUBLISHED 10 July 2025
DOI 10.3389/fbioe.2025.1557572","[883.0, 68.0, 1096.0, 124.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,image,,"[97.0, 267.0, 242.0, 294.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,3,paragraph_title,OPEN ACCESS,"[95.0, 332.0, 198.0, 353.0]",frontmatter_noise,0.9,"[""frontmatter noise: OPEN ACCESS""]",frontmatter_noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,4,text,"EDITED BY
Roland Wohlgemuth,
Lodz University of Technology, Poland","[94.0, 364.0, 350.0, 420.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: EDITED BY\nRoland Wohlgemuth,\nLodz University of Technology, ""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,5,text,"REVIEWED BY
Ezhaveni Sathiyamoorthi,
Yeungnam University, Republic of Korea
Aryan Morita,
Gadjah Mada University, Indonesia","[95.0, 429.0, 360.0, 520.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: REVIEWED BY\nEzhaveni Sathiyamoorthi,\nYeungnam University, Re""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,6,text,"*CORRESPONDENCE
Diana Massai,
diana.massai@polito.it","[95.0, 534.0, 255.0, 585.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: *CORRESPONDENCE\nDiana Massai,\ndiana.massai@polito.it""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,7,text, $ ^{†} $These authors have contributed equally to this work and share first authorship,"[94.0, 592.0, 399.0, 632.0]",authors,0.8,"[""page-1 zone author_zone: $ ^{\u2020} $These authors have contributed equally to this work ""]",authors,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,8,text,"RECEIVED 08 January 2025
ACCEPTED 24 June 2025
PUBLISHED 10 July 2025","[95.0, 639.0, 268.0, 696.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: RECEIVED 08 January 2025\nACCEPTED 24 June 2025\nPUBLISHED 10 ""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,9,paragraph_title,CITATION,"[95.0, 706.0, 155.0, 723.0]",frontmatter_noise,0.9,"[""frontmatter noise: CITATION""]",frontmatter_noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
