page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,"Clin Orthop Relat Res (2010) 468:1542–1550
DOI 10.1007/s11999-009-1058-5","[98.0, 64.0, 425.0, 109.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,text,CLINICAL RESEARCH,"[110.0, 127.0, 342.0, 153.0]",authors,0.6,"[""page-1 initial-lastname author byline: CLINICAL RESEARCH""]",authors,0.6,frontmatter_main_zone,support_like,short_fragment,True,True
1,2,doc_title,Classification and Clinical Significance of Acromial Spur in Rotator Cuff Tear,"[96.0, 211.0, 893.0, 282.0]",paper_title,0.8,"[""page-1 zone title_zone: Classification and Clinical Significance of Acromial Spur in""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,3,text,Heel-type Spur and Rotator Cuff Tear,"[96.0, 298.0, 509.0, 328.0]",authors,0.8,"[""page-1 zone author_zone: Heel-type Spur and Rotator Cuff Tear""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,4,text,"Joo Han Oh MD, PhD, Jae Yoon Kim MD, Ho Kyoo Lee MD, Jung-Ah Choi MD, PhD","[95.0, 360.0, 486.0, 412.0]",authors,0.8,"[""page-1 zone author_zone: Joo Han Oh MD, PhD, Jae Yoon Kim MD, Ho Kyoo Lee MD, Jung-Ah""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,text,Received: 12 February 2009 / Accepted: 10 August 2009 / Published online: 4 September 2009,"[96.0, 485.0, 761.0, 507.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Received: 12 February 2009 / Accepted: 10 August 2009 / Publ""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,6,text,© The Association of Bone and Joint Surgeons $ ^{\textregistered} $ 2009,"[97.0, 506.0, 494.0, 528.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: \u00a9 The Association of Bone and Joint Surgeons $ ^{\\textregist""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,7,abstract,Abstract Acromial spurs reportedly relate to the impingement syndrome and rotator cuff tears. We classified the morphologic characteristics of the acromion (shape and thickness) and acromial spurs and,"[96.0, 563.0, 583.0, 888.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,8,abstract,group. The heel type was most common and detected in 59 patients (56%) in the cuff tear group and in 36 patients (35%) in the control group. The flat acromion was more common (60%) than curved and hoo,"[604.0, 563.0, 1094.0, 834.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,9,text,"Level of Evidence: Level IV, diagnostic study. See Guidelines for Authors for a complete description of levels of evidence.","[606.0, 836.0, 1093.0, 911.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,True,True
1,10,footnote,"Each author certifies that he or she has no commercial associations (eg, consultancies, stock ownership, equity interest, patent/licensing arrangements, etc) that might pose a conflict of interest in ","[97.0, 932.0, 582.0, 1012.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Each author certifies that he or she has no commercial assoc""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,11,paragraph_title,Introduction,"[607.0, 962.0, 725.0, 986.0]",section_heading,0.9,"[""explicit scholarly heading: Introduction""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
1,12,footnote,Each author certifies that his or her institution has approved the human protocol for this investigation and that all investigations were conducted in conformity with ethical principles of research. T,"[97.0, 1013.0, 580.0, 1115.0]",footnote,0.7,"[""footnote label: Each author certifies that his or her institution has approv""]",footnote,0.7,body_zone,body_like,none,True,True
1,13,text,"Rotator cuff disorder is a common cause of chronic shoulder pain in adults. The specific etiology of a rotator cuff tear has not been fully elucidated, but it has been considered to result from a comb","[605.0, 1011.0, 1093.0, 1236.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,14,footnote,"J. H. Oh, H. K. Lee
Department of Orthopedic Surgery, Seoul National University College of Medicine, Seoul National University Bundang Hospital, Seoul, Korea","[96.0, 1131.0, 538.0, 1217.0]",footnote,0.7,"[""footnote label: J. H. Oh, H. K. Lee\nDepartment of Orthopedic Surgery, Seoul ""]",footnote,0.7,body_zone,body_like,none,True,True
1,15,footnote,"J. Y. Kim (✉)
Department of Orthopaedic Surgery, Chung-Ang University College of Medicine, 224-1, Heukseok-Dong, Dongjak-ku, Seoul 156-755, Korea
e-mail: orthozan@hanmail.net","[95.0, 1232.0, 523.0, 1335.0]",footnote,0.7,"[""footnote label: J. Y. Kim (\u2709)\nDepartment of Orthopaedic Surgery, Chung-Ang U""]",footnote,0.7,body_zone,body_like,none,True,True
1,16,footnote,"J.-A. Choi
Department of Radiology, Seoul National University College
of Medicine, Seoul National University Bundang Hospital,
Seoul, Korea","[96.0, 1352.0, 532.0, 1434.0]",footnote,0.7,"[""footnote label: J.-A. Choi\nDepartment of Radiology, Seoul National Universit""]",footnote,0.7,body_zone,body_like,none,True,True
1,17,text,"The coracoacromial ligament [9, 10, 20], shape of the acromion [2, 3, 25], and formation of acromial spurs [21, 26] reportedly relate to impingement and their association with rotator cuff tears has b","[605.0, 1236.0, 1094.0, 1437.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,18,footer_image,,"[99.0, 1470.0, 187.0, 1497.0]",unknown_structural,0.2,"[""unrecognized label 'footer_image'""]",unknown_structural,0.2,body_zone,body_like,empty,False,True
2,0,header,"Volume 468, Number 6, June 2010","[98.0, 65.0, 352.0, 86.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_side_zone,support_like,none,False,False
2,1,header,Heel-type Spur and Rotator Cuff Tear,"[762.0, 65.0, 1035.0, 87.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_side_zone,support_like,none,False,False
2,2,number,1543,"[1053.0, 65.0, 1091.0, 84.0]",noise,0.9,"[""page number label""]",noise,0.9,frontmatter_side_zone,support_like,short_fragment,False,False
2,3,text,"enlarge the subacromial space and decompress the rotator cuff. Numerous subsequent studies [2, 3, 8, 17, 21, 25, 26] have supported Neer's theory of extrinsic impingement leading to cuff disease and c","[95.0, 115.0, 583.0, 239.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,4,text,Various relationships reportedly occur between acromial spurs and rotator cuff tear. Ogawa et al. [21] classified acromial spurs according to size and emphasized only large spurs measuring 5 mm or gre,"[96.0, 239.0, 583.0, 736.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,5,text,"Therefore, the purposes of our study were (1) to classify the morphologic characteristics of acromial spurs in rotator cuff disorder; and (2) to evaluate the clinical correlation of acromial character","[95.0, 738.0, 583.0, 863.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,6,paragraph_title,Materials and Methods,"[97.0, 913.0, 308.0, 935.0]",section_heading,0.9,"[""explicit scholarly heading: Materials and Methods""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
2,7,text,We retrospectively reviewed the prospectively collected data from all 106 patients with full-thickness rotator cuff tears who underwent rotator cuff repair surgery between July 2007 and September 2008,"[95.0, 961.0, 584.0, 1437.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,8,text,"shoulders, fractures, and tumors. There were 54 men and
48 women with an average age of 57.5 years (range, 45–
79 years) in the control group. We observed no difference
in age and gender ratio between","[605.0, 116.0, 1093.0, 214.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
