page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,"Clin Orthop Relat Res (2024) 482:2239-2255
DOI 10.1097/CORR.0000000000003218","[99.0, 79.0, 433.0, 123.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,header,"Clinical Orthopaedics and Related Research $ ^{®} $
A Publication of The Association of Bone and Joint Surgeons $ ^{*} $","[794.0, 52.0, 1070.0, 124.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,text,Basic Research,"[113.0, 144.0, 262.0, 168.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,3,text,OPEN,"[995.0, 143.0, 1065.0, 171.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,4,doc_title,Tissue-engineered Bicipital Autologous Tendon Patch Enhances Massive Rotator Cuff Defect Repair in a Rabbit Infraspinatus Tendon Defect Model,"[99.0, 221.0, 1067.0, 333.0]",paper_title,0.8,"[""page-1 zone title_zone: Tissue-engineered Bicipital Autologous Tendon Patch Enhances""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,text,"Youguo Liao MD $ ^{1,2,3,4,5,6} $, Hengzhi Liu MM $ ^{1,2,3,4,5,6} $, Jiayun Huang MD $ ^{1,2,3,4,5,6} $, Zetao Wang MM $ ^{1,2,3,4,5,6,7} $, Tao Zhang MD $ ^{1,2,3,4,5,6} $, Xiangjun Hu MM $ ^{1,8} $","[97.0, 368.0, 1059.0, 490.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,6,text,Received: 15 February 2024 / Accepted: 18 July 2024 / Published online: 17 September 2024,"[99.0, 586.0, 706.0, 607.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Received: 15 February 2024 / Accepted: 18 July 2024 / Publis""]",frontmatter_noise,0.8,body_zone,support_like,none,False,False
1,7,text,"Copyright © 2024 The Author(s). Published by Wolters Kluwer Health, Inc. on behalf of the Association of Bone and Joint Surgeons","[99.0, 605.0, 957.0, 628.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Copyright \u00a9 2024 The Author(s). Published by Wolters Kluwer ""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,8,paragraph_title,Abstract,"[98.0, 664.0, 184.0, 686.0]",abstract_heading,0.95,"[""abstract heading""]",abstract_heading,0.95,body_zone,heading_like,short_fragment,True,True
1,9,abstract,"Background Massive rotator cuff defects represent an important source of shoulder pain and functional debilitation, substantially diminishing patients' quality of life. The primary treatment of massiv","[97.0, 688.0, 570.0, 927.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,10,abstract,"Questions/purposes Using an in vitro analysis, we first asked: (1) What is the biocompatibility and collagen synthesis ability of fibrin glue, and what is the cell growth of tissue-engineered bicipita","[98.0, 928.0, 572.0, 1026.0]",body_paragraph,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,11,text,"comprised of fibrin glue and biceps tendon tissue particles? Then, using an in vivo animal model of full-thickness defects in the infraspinatus tendon in New Zealand White rabbits, we asked: (2) What ","[598.0, 664.0, 1072.0, 808.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,12,text,"Methods In vitro experiments were conducted to assess the survival, proliferation, and collagen synthesis ability of tendon stem/progenitor cells cultured in fibrin glue. This was achieved through an ","[598.0, 809.0, 1073.0, 1026.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,13,footnote,The first three authors contributed equally to this manuscript. The last three authors contributed equally to this manuscript.,"[99.0, 1089.0, 984.0, 1113.0]",footnote,0.7,"[""footnote label: The first three authors contributed equally to this manuscri""]",footnote,0.7,body_zone,body_like,none,True,True
1,14,footnote,"The institution of one or more of the authors (WS) has received, during the study period, funding from the NSFC grants (82372376), the Medical Health Science and Technology Project of Zhejiang Provinc","[98.0, 1109.0, 1072.0, 1211.0]",footnote,0.7,"[""footnote label: The institution of one or more of the authors (WS) has recei""]",footnote,0.7,body_zone,body_like,none,True,True
1,15,footnote,"Each author certifies that there are no funding or commercial associations (consultancies, stock ownership, equity interest, patent/licensing arrangements, etc.) that might pose a conflict of interest","[98.0, 1210.0, 1071.0, 1271.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Each author certifies that there are no funding or commercia""]",frontmatter_noise,0.8,body_zone,support_like,none,False,False
1,16,footnote,All ICMJE Conflict of Interest Forms for authors and Clinical Orthopaedics and Related Research $ ^{\circledR} $ editors and board members are on file with the publication and can be viewed on request,"[98.0, 1270.0, 1070.0, 1310.0]",footnote,0.7,"[""footnote label: All ICMJE Conflict of Interest Forms for authors and Clinica""]",footnote,0.7,body_zone,support_like,none,True,True
1,17,footnote,"Clinical Orthopaedics and Related Research $ ^{\circledR} $ neither advocates nor endorses the use of any treatment, drug, or device. Readers are encouraged to always seek additional information, incl","[98.0, 1310.0, 1025.0, 1353.0]",footnote,0.7,"[""footnote label: Clinical Orthopaedics and Related Research $ ^{\\circledR} $ ""]",footnote,0.7,body_zone,body_like,none,True,True
1,18,footnote,Ethical approval for this study was obtained from the Laboratory Animal Welfare and Ethics Committee of Zhejiang University (ZJU20230297).,"[97.0, 1347.0, 1005.0, 1389.0]",footnote,0.7,"[""footnote label: Ethical approval for this study was obtained from the Labora""]",footnote,0.7,body_zone,body_like,none,True,True
1,19,footnote,"This work was performed at Department of Orthopedic Surgery, the Second Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, PR China.","[98.0, 1389.0, 1064.0, 1432.0]",footnote,0.7,"[""footnote label: This work was performed at Department of Orthopedic Surgery,""]",footnote,0.7,body_zone,body_like,none,True,True
1,20,footer_image,,"[904.0, 1470.0, 1070.0, 1502.0]",non_body_insert,0.2,"[""unrecognized label 'footer_image'""]",unknown_structural,0.2,body_zone,unknown_like,empty,False,False
2,0,number,2240,"[101.0, 80.0, 143.0, 100.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
2,1,header,Liao et al.,"[172.0, 80.0, 250.0, 101.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
2,2,header,Clinical Orthopaedics and Related Research $ ^{\circledR} $,"[737.0, 79.0, 1070.0, 102.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
2,3,text,control group and 15 rabbits each in the gel and patch groups. Six rabbits were allocated to each of the three groups at the 1- and 3-month time points and three rabbits each were in the gel and patch,"[96.0, 142.0, 571.0, 714.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,4,text,,"[597.0, 141.0, 1072.0, 593.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,body_zone,body_like,empty,True,True
2,5,text,"Conclusion This animal study demonstrates that the tissue-engineered bicipital autologous tendon patch effectively modulates an immune response and collagen fibril organization, leading to the promoti","[599.0, 595.0, 1072.0, 717.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,6,footnote," $ ^{1} $Dr. Li Dak Sum-Yip Yio Chin Center for Stem Cells and Regenerative Medicine and Department of Orthopedic Surgery of The Second Affiliated Hospital, Zhejiang University School of Medicine, Han","[98.0, 789.0, 1069.0, 836.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{1} $Dr. Li Dak Sum-Yip Yio Chin Center for Stem Cells an""]",affiliation,0.8,body_zone,body_like,affiliation_marker,True,True
2,7,footnote," $ ^{2} $Institute of Sports Medicine, Zhejiang University, Hangzhou, Zhejiang, PR China","[97.0, 848.0, 672.0, 876.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{2} $Institute of Sports Medicine, Zhejiang University, H""]",affiliation,0.8,body_zone,body_like,affiliation_marker,True,True
2,8,footnote," $ ^{3} $Orthopedics Research Institute of Zhejiang University, Hangzhou, Zhejiang, PR China","[97.0, 887.0, 705.0, 916.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{3} $Orthopedics Research Institute of Zhejiang Universit""]",affiliation,0.8,body_zone,body_like,affiliation_marker,True,True
2,9,footnote," $ ^{4} $Key Laboratory of Motor System Disease Research and Precision Therapy of Zhejiang Province, Hangzhou, Zhejiang, PR China","[97.0, 927.0, 990.0, 956.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{4} $Key Laboratory of Motor System Disease Research and ""]",affiliation,0.8,body_zone,body_like,affiliation_marker,True,True
2,10,footnote," $ ^{5} $Clinical Research Center of Motor System Disease of Zhejiang Province, Zhejiang, PR China","[97.0, 967.0, 753.0, 996.0]",footnote,0.7,"[""footnote label: $ ^{5} $Clinical Research Center of Motor System Disease of ""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
2,11,footnote," $ ^{6} $Department of Sports Medicine and Orthopedic Surgery, the Second Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, PR China","[95.0, 1007.0, 1070.0, 1056.0]",footnote,0.7,"[""footnote label: $ ^{6} $Department of Sports Medicine and Orthopedic Surgery""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
2,12,footnote," $ ^{7} $Department of Orthopedics, Huzhou Central Hospital, Affiliated Huzhou Hospital, Zhejiang University School of Medicine, Huzhou, Zhejiang, PR China","[95.0, 1067.0, 1071.0, 1116.0]",footnote,0.7,"[""footnote label: $ ^{7} $Department of Orthopedics, Huzhou Central Hospital, ""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
2,13,footnote," $ ^{8} $School of Stomatology, Zhejiang University School of Medicine, Hangzhou, Zhejiang, PR China","[97.0, 1127.0, 777.0, 1155.0]",footnote,0.7,"[""footnote label: $ ^{8} $School of Stomatology, Zhejiang University School of""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
2,14,footnote," $ ^{9} $Hangzhou Single-Clean Medical Products Co Ltd, Hangzhou, Zhejiang, PR China","[97.0, 1167.0, 655.0, 1195.0]",footnote,0.7,"[""footnote label: $ ^{9} $Hangzhou Single-Clean Medical Products Co Ltd, Hangz""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
2,15,footnote," $ ^{10} $Department of Plastic Surgery, Sir Run Run Shaw Hospital, Zhejiang University School of Medicine, Hangzhou, PR China","[98.0, 1206.0, 958.0, 1235.0]",footnote,0.7,"[""footnote label: $ ^{10} $Department of Plastic Surgery, Sir Run Run Shaw Hos""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
2,16,footnote," $ ^{11} $China Orthopedic Regenerative Medicine Group, CORMed, Hangzhou, Zhejiang, PR China","[98.0, 1246.0, 750.0, 1275.0]",footnote,0.7,"[""footnote label: $ ^{11} $China Orthopedic Regenerative Medicine Group, CORMe""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
2,17,footnote," $ ^{12} $Ningbo No.2 Hospital, Ningbo, Zhejiang, PR China","[98.0, 1286.0, 478.0, 1314.0]",footnote,0.7,"[""footnote label: $ ^{12} $Ningbo No.2 Hospital, Ningbo, Zhejiang, PR China""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
2,18,footnote," $ ^{13} $Zhejiang University-University of Edinburgh Institute, Zhejiang University School of Medicine, and Key Laboratory of Tissue Engineering and Regenerative Medicine of Zhejiang Province, Zhejia","[98.0, 1327.0, 1070.0, 1373.0]",footnote,0.7,"[""footnote label: $ ^{13} $Zhejiang University-University of Edinburgh Institu""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
2,19,footnote,"W. Shen  $ \otimes $, Department of Sports Medicine and Orthopedic Surgery, the Second Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, PR China, Email: wlshen@zju.edu.","[98.0, 1389.0, 1070.0, 1433.0]",footnote,0.7,"[""footnote label: W. Shen  $ \\otimes $, Department of Sports Medicine and Orth""]",footnote,0.7,body_zone,body_like,none,True,True
2,20,footer_image,,"[100.0, 1471.0, 267.0, 1501.0]",unknown_structural,0.2,"[""unrecognized label 'footer_image'""]",unknown_structural,0.2,body_zone,unknown_like,empty,False,True
3,0,header,"Volume 482, Number 12","[100.0, 80.0, 287.0, 102.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
3,1,header,Tissue-engineered Tendon Patch Enhances Tendon Repair,"[573.0, 80.0, 999.0, 102.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
3,2,number,2241,"[1029.0, 80.0, 1067.0, 100.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
3,3,text,"Clinical Relevance The tissue-engineered bicipital autologous tendon patch represents a promising strategy for tendon regeneration, offering potential in the repair of massive rotator cuff defects dur","[98.0, 139.0, 571.0, 333.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,4,paragraph_title,Introduction,"[98.0, 380.0, 219.0, 403.0]",section_heading,0.9,"[""explicit scholarly heading: Introduction""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
3,5,text,"Massive rotator cuff defects are a common shoulder disorder, accounting for 40% of all rotator cuff injuries [2, 12]. Millions of people worldwide are affected by massive rotator cuff defects, which s","[97.0, 427.0, 568.0, 714.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,6,text,"Additionally, massive rotator cuff defects often accompany biceps tendon injury or rupture  $ [16] $, frequently necessitating concomitant biceps tenotomy during rotator cuff repair. Therefore, excess","[97.0, 714.0, 570.0, 1120.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,7,text,"Therefore, in this study, we evaluated the use of a tissue-engineered bicipital autologous tendon patch, composed of tendon tissue particles and fibrin glue, for repair of massive rotator cuff defects","[96.0, 1120.0, 571.0, 1434.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
