page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,Macromolecular Research,"[88.0, 85.0, 404.0, 113.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,header,Article,"[1021.0, 85.0, 1108.0, 112.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,2,header,DOI 10.1007/s13233-020-8168-z,"[82.0, 128.0, 318.0, 151.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,3,header,www.springer.com/13233 pISSN 1598-5032 eISSN 2092-7673,"[655.0, 129.0, 1108.0, 152.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,4,doc_title,Fabrication Tough and Electrically Conductive Graphene-Based Nanocomposite Gels with Self-Oscillating Performance,"[79.0, 185.0, 1054.0, 258.0]",paper_title,0.8,"[""page-1 zone title_zone: Fabrication Tough and Electrically Conductive Graphene-Based""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,text,"Jie Ren $ ^{*} $
Xuemiao Wang
Aixia Zhang
Lan Zhang
Lingling Zhao
Yan Li
Wu Yang
Chemistry & Chemical Engineering College, Northwest Normal University,","[78.0, 288.0, 217.0, 463.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Jie Ren $ ^{*} $\nXuemiao Wang\nAixia Zhang\nLan Zhang\nLingling""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
1,6,text,,"[336.0, 289.0, 918.0, 313.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,frontmatter_main_zone,support_like,empty,True,True
1,7,text,"Key Lab of Bioelectrochemistry & Environmental Analysis of Gansu, Key Lab of Polymer","[337.0, 314.0, 1011.0, 337.0]",authors,0.8,"[""page-1 zone author_zone: Key Lab of Bioelectrochemistry & Environmental Analysis of G""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,8,text,"Materials of Ministry of Education of Ecological Environment, Lanzhou, 730070, P. R. China","[337.0, 338.0, 1042.0, 362.0]",authors,0.8,"[""page-1 zone author_zone: Materials of Ministry of Education of Ecological Environment""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,9,text,"Received August 4, 2020 / Revised September 27, 2020 / Accepted October 22, 2020","[338.0, 434.0, 1000.0, 459.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Received August 4, 2020 / Revised September 27, 2020 / Accep""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,10,abstract,"Abstract: Stimulus-responsive polymer gel materials were studied and applied widely in many fields in recent years. However, the poor electrically conductive property and even with poor toughness larg","[79.0, 500.0, 715.0, 746.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,11,image,,"[718.0, 500.0, 1105.0, 719.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,12,abstract,"which is as high as human cartilage. Besides, the prepared gels exhibited the self-oscillating behavior in the Belousov-Zhabotinsky (BZ) solution free of catalyst. Therefore, the prepared materials ha","[80.0, 728.0, 1110.0, 776.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,13,text,"Keywords: graphene nanocomposite gels, electrical conductivity, toughness, self-oscillating behavior.","[79.0, 794.0, 855.0, 821.0]",frontmatter_noise,0.7,"[""keyword-like block: Keywords: graphene nanocomposite gels, electrical conductivi""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,14,paragraph_title,1. Introduction,"[81.0, 857.0, 237.0, 881.0]",section_heading,0.85,"[""paragraph_title label with numbering: 1. Introduction""]",section_heading,0.85,body_zone,heading_like,heading_numbered,True,True
1,15,text,"Polymer gels, consisting of a percolated polymer network swollen with a substantial amount of solvent, are formed by covalently cross-linked polymer networks or by hydrogen bonding, Coulombic interact","[79.0, 904.0, 584.0, 1375.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Polymer gels, consisting of a percolated polymer network swo""]",affiliation,0.8,body_zone,body_like,none,True,True
1,16,text,,"[603.0, 856.0, 1110.0, 1053.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,frontmatter_main_zone,support_like,empty,True,True
1,17,text,"Great achievement has been made in the research of graphene nanocomposite gels in flexible electronic devices, biosensors, and energy storage devices for the excellent electrical and mechanical proper","[602.0, 1054.0, 1111.0, 1547.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,18,footnote,"Acknowledgments: This work was supported in part by the National Natural Science Foundation of China (21665024), the Basic Project of Science and Research of Colleges and Universities of Gansu Provinc","[77.0, 1410.0, 584.0, 1518.0]",footnote,0.7,"[""footnote label: Acknowledgments: This work was supported in part by the Nati""]",footnote,0.7,body_zone,body_like,none,True,True
1,19,footnote,*Corresponding Author: Jie Ren (jieren@nwnu.edu.cn),"[79.0, 1524.0, 480.0, 1548.0]",footnote,0.7,"[""footnote label: *Corresponding Author: Jie Ren (jieren@nwnu.edu.cn)""]",footnote,0.7,body_zone,body_like,none,True,True
1,20,footer,"Macromol. Res., 28(13), 1253-1260 (2020)","[82.0, 1574.0, 375.0, 1595.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
1,21,number,1253,"[575.0, 1574.0, 616.0, 1594.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
1,22,footer,© The Polymer Society of Korea and Springer 2020,"[747.0, 1574.0, 1108.0, 1595.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
2,0,header,Macromolecular Research,"[81.0, 86.0, 398.0, 113.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
2,1,text,for hard tissue construction.,"[79.0, 144.0, 311.0, 166.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
