page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,Bone Research,"[69.0, 58.0, 229.0, 86.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,1,header,www.nature.com/boneres,"[914.0, 66.0, 1103.0, 85.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,text,REVIEW ARTICLE OPEN,"[67.0, 164.0, 375.0, 191.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,3,header_image,,"[1052.0, 112.0, 1100.0, 160.0]",non_body_insert,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,False
1,4,doc_title,Mechanotransduction pathways in articular chondrocytes and the emerging role of estrogen receptor- $ \alpha $,"[67.0, 197.0, 1105.0, 287.0]",paper_title,0.8,"[""page-1 zone title_zone: Mechanotransduction pathways in articular chondrocytes and t""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,text,"Ning Wang $ ^{1,2} $, Yangfan Lu $ ^{1} $, Benjamin B. Rothrauff $ ^{2} $, Aojie Zheng $ ^{1} $, Alexander Lamb $ ^{2} $, Youzhen Yan $ ^{1} $, Katelyn E. Lipa $ ^{2,3} $, Guanghua Lei $ ^{1} $ $ ^{✉}","[67.0, 301.0, 1007.0, 349.0]",authors,0.8,"[""page-1 zone author_zone: Ning Wang $ ^{1,2} $, Yangfan Lu $ ^{1} $, Benjamin B. Rothr""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,6,abstract,"In the synovial joint, mechanical force creates an important signal that influences chondrocyte behavior. The conversion of mechanical signals into biochemical cues relies on different elements in mec","[90.0, 387.0, 1082.0, 695.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,7,text,Bone Research (2023)11:13,"[91.0, 713.0, 298.0, 735.0]",structured_insert_candidate,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,False,False
1,8,text,; https://doi.org/10.1038/s41413-023-00248-x,"[412.0, 713.0, 764.0, 735.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: ; https://doi.org/10.1038/s41413-023-00248-x""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,9,paragraph_title,INTRODUCTION,"[68.0, 818.0, 202.0, 837.0]",section_heading,0.9,"[""explicit scholarly heading: INTRODUCTION""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
1,10,text,"Osteoarthritis (OA) is a degenerative joint disease mainly characterized by low-grade inflammation, cartilage degradation, and subchondral bone remodeling, which together lead to pain and disability. ","[65.0, 838.0, 572.0, 1158.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,11,text,"There are several risk factors involved in the pathogenesis of OA, such as aging, genetics, obesity, and injury, but biomechanical overload is one of the primary risk factors for OA. $ ^{3,4} $ Previo","[66.0, 1157.0, 573.0, 1299.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,12,text,,"[597.0, 817.0, 1105.0, 919.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,frontmatter_main_zone,support_like,empty,True,True
1,13,text,"Mechanistically, physical forces are converted into biochemical or electrical signals to induce a cellular response. This special cellular process is called mechanotransduction. New discoveries of put","[596.0, 919.0, 1106.0, 1301.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,14,footnote," $ ^{1} $Department of Orthopaedic Surgery, Xiangya Hospital, Central South University, Changsha 410008 Hunan, China;  $ ^{2} $Department of Orthopaedic Surgery, University of Pittsburgh School of Med","[65.0, 1349.0, 1105.0, 1424.0]",footnote,0.7,"[""footnote label: $ ^{1} $Department of Orthopaedic Surgery, Xiangya Hospital,""]",footnote,0.7,body_zone,body_like,affiliation_marker,True,True
1,15,footnote,Received: 6 September 2022 Revised: 5 December 2022 Accepted: 6 January 2023 Published online: 03 March 2023,"[66.0, 1431.0, 674.0, 1472.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Received: 6 September 2022 Revised: 5 December 2022 Accepted""]",frontmatter_noise,0.8,body_zone,support_like,none,False,False
1,16,footer,© The Author(s) 2023,"[70.0, 1504.0, 207.0, 1522.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
1,17,footer,SPRINGER NATURE,"[989.0, 1503.0, 1103.0, 1520.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,unknown_like,short_fragment,False,False
2,0,number,2,"[44.0, 94.0, 60.0, 112.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
2,1,header,"Estrogen receptor- $ \alpha $ in mechanotransduction
N Wang et al.","[280.0, 46.0, 591.0, 86.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
2,2,image,,"[216.0, 119.0, 990.0, 738.0]",figure_asset,0.85,"[""media label: image""]",media_asset,0.85,body_zone,body_like,empty,True,True
2,3,figure_title,"Fig. 1 The three-tiered cascade of mechanotransduction pathways in cells. The first structures influenced by mechanical stimulation are different types of mechanosensors, including pericellular matrix","[84.0, 754.0, 1124.0, 884.0]",figure_caption,0.92,"[""figure_title label: Fig. 1 The three-tiered cascade of mechanotransduction pathw""]",figure_caption,0.92,display_zone,legend_like,figure_number,True,True
2,4,paragraph_title,THREE-TIERED CASCADE OF MECHANOTRANSDUCTION PATHWAYS IN CHONDROCYTES,"[84.0, 901.0, 536.0, 941.0]",section_heading,0.6,"[""unnumbered paragraph_title, inferred level section_heading: THREE-TIERED CASCADE OF MECHANOTRANSDUCTION PATHWAYS IN CHON""]",section_heading,0.6,body_zone,body_like,none,True,True
2,5,text,"Previous studies have led to the identification of many cellular structures and molecules that mediate chondrocyte responses to force, including primary cilia, mitochondria, ion channel proteins, tran","[84.0, 941.0, 593.0, 1462.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,6,text,,"[615.0, 901.0, 1124.0, 1323.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,body_zone,body_like,empty,True,True
2,7,paragraph_title,Mechanosensors of chondrocytes and their roles in OA pathogenesis,"[616.0, 1339.0, 1048.0, 1380.0]",subsection_heading,0.6,"[""unnumbered paragraph_title, inferred level subsection_heading: Mechanosensors of chondrocytes and their roles in OA pathoge""]",subsection_heading,0.6,body_zone,body_like,none,True,True
2,8,text,Mechanosensors respond to mechanical stimulation that alter the molecular/cellular structures to induce electrochemical and biological signals. Since mechanosensors are the initiators of signaling cas,"[615.0, 1380.0, 1124.0, 1463.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,9,footer,SPRINGER NATURE,"[87.0, 1503.0, 202.0, 1520.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,unknown_like,short_fragment,False,False
2,10,footer,Bone Research (2023)11:13,"[829.0, 1503.0, 1016.0, 1523.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
3,0,header,"Estrogen receptor- $ \alpha $ in mechanotransduction
N Wang et al.","[599.0, 46.0, 911.0, 87.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
3,1,number,3,"[1132.0, 95.0, 1146.0, 113.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
3,2,image,,"[82.0, 166.0, 1085.0, 1263.0]",figure_asset,0.85,"[""media label: image""]",media_asset,0.85,body_zone,body_like,empty,True,True
3,3,figure_title,"Fig. 2 Different mechanosensors and their downstream pathways in articular chondrocytes. Pointed arrows indicate stimulatory effects, whereas blocked lines indicate inhibitory effects. IGF-1: insulin-","[66.0, 1289.0, 1106.0, 1472.0]",figure_caption,0.92,"[""figure_title label: Fig. 2 Different mechanosensors and their downstream pathway""]",figure_caption,0.92,display_zone,legend_like,figure_number,True,True
3,4,footer,Bone Research (2023)11:13,"[69.0, 1503.0, 256.0, 1523.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
3,5,footer,SPRINGER NATURE,"[989.0, 1503.0, 1103.0, 1520.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,unknown_like,short_fragment,False,False
4,0,number,4,"[44.0, 94.0, 60.0, 112.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
4,1,header,"Estrogen receptor- $ \alpha $ in mechanotransduction
N Wang et al.","[280.0, 46.0, 590.0, 87.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
4,2,text,"pathways based on mechanosensing effects (Fig. 2). In addition, the related mechanotransducers and mechanoimpactors in each pathway are discussed in the following sections. The functions of mechanotra","[84.0, 114.0, 592.0, 218.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,3,text,"Mechanically gated ion channels and porin-mediated pathways Mechanically gated ion channels and porins are the most best characterized mechanosensors in chondrocytes. In general, these transmembrane p","[84.0, 233.0, 591.0, 375.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,4,text,"Transient receptor potential cation channel subfamily V member 4 (TRPV4), a Ca²⁺-permeable osmomechano-TRP channel, is highly expressed in articular chondrocytes and mediates the cell response to mech","[84.0, 376.0, 592.0, 1073.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,5,text,"Piezo1 and Piezo2 are two important ion channels in chondrocytes. In contrast to TRPV4, which is primarily thought to play a protective role in cartilage, recent evidence has suggested that Piezo1 and","[84.0, 1071.0, 591.0, 1431.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,6,text,"Furthermore, inflammatory cytokines, such as IL-1 $ \alpha $, have been shown to promote the expression of Piezo1, which results in excessive steady-state calcium levels and hypersensitivity of chondr","[84.0, 1430.0, 592.0, 1472.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,7,text,,"[614.0, 115.0, 1123.0, 194.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,body_zone,body_like,empty,True,True
4,8,text,"Although TRPV4 and Piezo1 represent the two most important ion channels involved in mechanotransduction, their interaction in chondrocytes is, surprisingly, not fully understood. Du et al. indicated t","[615.0, 194.0, 1124.0, 616.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,9,paragraph_title,Cilia-mediated pathways,"[617.0, 633.0, 813.0, 653.0]",subsection_heading,0.6,"[""unnumbered paragraph_title, inferred level subsection_heading: Cilia-mediated pathways""]",subsection_heading,0.6,body_zone,body_like,none,True,True
4,10,text,"Cilia are microtubule-containing structures that extend from the cell surface into the extracellular space. They can directly participate in cell sensing of different stimuli, including physical force","[615.0, 653.0, 1123.0, 992.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,11,text,ED-rich tail 2 (CITED2) is another target that is regulated by primary cilia when chondrocytes are subjected to load strain. Abolishing primary cilia by knockdown of intraflagellar transport protein (,"[615.0, 991.0, 1124.0, 1232.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,12,text,"In summary, primary cilia function as mechanosensors, and their activity is mediated through two mechanisms, namely, as classical cell sensors of fluid flow and pressure $ ^{38} $ and modulators of th","[615.0, 1232.0, 1124.0, 1393.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,13,paragraph_title,Integrins and ECM-mediated pathways,"[617.0, 1410.0, 921.0, 1430.0]",subsection_heading,0.6,"[""unnumbered paragraph_title, inferred level subsection_heading: Integrins and ECM-mediated pathways""]",subsection_heading,0.6,body_zone,body_like,none,True,True
4,14,text,Integrin family members are widely expressed in articular chondrocytes as important cell adhesion molecules. Various types,"[615.0, 1429.0, 1125.0, 1473.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,15,footer,SPRINGER NATURE,"[87.0, 1503.0, 203.0, 1520.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,unknown_like,short_fragment,False,False
4,16,footer,Bone Research (2023)11:13,"[828.0, 1503.0, 1016.0, 1523.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
5,0,header,"Estrogen receptor- $ \alpha $ in mechanotransduction
N Wang et al.","[600.0, 48.0, 909.0, 86.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
5,1,number,5,"[1132.0, 95.0, 1145.0, 113.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
5,2,table,"<table><tr><td colspan=""5"">Table 1. List of known mechanosensors in chondrocytes and their potential downstream genes and pathways</td></tr><tr><td>Mechanosensors in chondrocytes</td><td>Types of mech","[70.0, 125.0, 1093.0, 1474.0]",media_asset,0.85,"[""media label: table""]",media_asset,0.85,body_zone,body_like,none,True,True
5,3,footer,Bone Research (2023)11:13,"[69.0, 1504.0, 255.0, 1522.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
5,4,footer,SPRINGER NATURE,"[990.0, 1504.0, 1103.0, 1519.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,unknown_like,short_fragment,False,False
6,0,number,6,"[44.0, 95.0, 60.0, 112.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
6,1,header,"Estrogen receptor- $ \alpha $ in mechanotransduction
N Wang et al.","[281.0, 46.0, 591.0, 87.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
6,2,table,"<table><tr><td colspan=""5"">Table 1. continued</td></tr><tr><td>Mechanosensors in chondrocytes</td><td>Types of mechanical stimulation</td><td>Potential downstream molecules or pathways</td><td>Relatio","[91.0, 121.0, 1107.0, 890.0]",media_asset,0.85,"[""media label: table""]",media_asset,0.85,body_zone,body_like,none,True,True
6,3,vision_footnote,The relationship between mechanosensors and OA is shown,"[95.0, 904.0, 499.0, 921.0]",footnote,0.7,"[""vision_footnote label: The relationship between mechanosensors and OA is shown""]",footnote,0.7,body_zone,body_like,none,True,True
6,4,vision_footnote,"TRPV4 transient receptor potential channel subfamily V member 4, NO nitric oxide, PGE2 prostaglandin e2, HDAC6 histone deacetylase 6, TGF-β transforming growth factor-beta, COL2 type II collagen, ACAN","[93.0, 920.0, 1115.0, 1034.0]",footnote,0.7,"[""vision_footnote label: TRPV4 transient receptor potential channel subfamily V membe""]",footnote,0.7,body_zone,body_like,none,True,True
6,5,text,"of integrins are expressed in chondrocytes, including  $ \alpha1\beta1 $,  $ \alpha3\beta1 $,  $ \alpha5\beta1 $,  $ \alpha10\beta1 $,  $ \alpha V\beta1 $,  $ \alpha V\beta3 $, and  $ \alpha V\beta5 $","[83.0, 1066.0, 592.0, 1466.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
6,6,text,,"[616.0, 1065.0, 1123.0, 1246.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,body_zone,body_like,empty,True,True
6,7,text,"In hyaline cartilage, chondrocytes are surrounded by a dense extracellular matrix. Based on the distance to the chondrocyte membrane, cartilage ECM is divided into three parts: the pericellular, inter","[615.0, 1245.0, 1124.0, 1468.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
6,8,footer,SPRINGER NATURE,"[87.0, 1503.0, 202.0, 1520.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,unknown_like,short_fragment,False,False
6,9,footer,Bone Research (2023)11:13,"[829.0, 1503.0, 1016.0, 1523.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
7,0,header,"Estrogen receptor- $ \alpha $ in mechanotransduction
N Wang et al.","[600.0, 47.0, 909.0, 86.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
7,1,text,"through binding integrins, the deformation of the ECM may alter ECM component interactions with integrins, thereby changing integrin-relevant pathways. In addition, ECM components may regulate the lev","[65.0, 115.0, 573.0, 256.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
7,2,number,7,"[1132.0, 94.0, 1146.0, 113.0]",noise,0.9,"[""page number label""]",noise,0.9,body_zone,body_like,short_fragment,False,False
7,3,text,"In summary, the integrin family plays a critical role in mediating interactions between cells and the extracellular matrix, but the precise function of each integrin as a mechanosensor in chondrocytes","[65.0, 254.0, 573.0, 775.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
