page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,论 著,"[100.0, 87.0, 171.0, 112.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,1,header,影像研究与医学应用 2025年5月 第9卷第10期,"[366.0, 85.0, 837.0, 110.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,doc_title,MRI 检查在冻结肩诊断中的应用价值分析,"[244.0, 140.0, 977.0, 183.0]",paper_title,0.8,"[""page-1 zone title_zone: MRI \u68c0\u67e5\u5728\u51bb\u7ed3\u80a9\u8bca\u65ad\u4e2d\u7684\u5e94\u7528\u4ef7\u503c\u5206\u6790""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,3,text,乔祖康 $ ^{1} $，戴程炜 $ ^{2} $，徐海鹏 $ ^{1} $，熊俊龙 $ ^{1} $，赵沈阳 $ ^{1} $，常红生 $ ^{1} $（通信作者）,"[283.0, 212.0, 932.0, 236.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,True,True
1,4,text,"(1 浙江中医药大学附属第一医院 < 浙江省中医院 > 医学影像科 浙江 杭州 310006)
(2 浙江中医药大学第三临床医学院 浙江 杭州 310053)","[228.0, 239.0, 996.0, 294.0]",unknown_structural,0.8,"[""page-1 zone title_zone: (1 \u6d59\u6c5f\u4e2d\u533b\u836f\u5927\u5b66\u9644\u5c5e\u7b2c\u4e00\u533b\u9662 < \u6d59\u6c5f\u7701\u4e2d\u533b\u9662 > \u533b\u5b66\u5f71\u50cf\u79d1 \u6d59\u6c5f \u676d\u5dde 310006)\n(2 \u6d59\u6c5f\u4e2d\u533b\u836f\u5927\u5b66\u7b2c\u4e09""]",paper_title,0.8,frontmatter_main_zone,support_like,none,False,True
1,5,abstract,【摘要】目的：探讨肩关节MRI在冻结肩（FS）的临床及影像诊断中的应用价值。方法：选取2022年8月—2023年8月浙江中医药大学附属第一医院收治的30例处于冻结期的FS患者作为观察组，并选取同期30名健康成人作为对照组。通过MRI测量两组的喙肱韧带（CHL）、腋囊（AR）和下盂肱韧带（IGHL）的厚度，并绘制受试者工作特征（ROC）曲线评估CHL、AR、IGHL厚度对FS的诊断价值，计算曲线下面,"[98.0, 347.0, 1126.0, 587.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,6,text,【关键词】冻结肩；磁共振成像；喙肱韧带；腋囊；下盂肱韧带；诊断价值,"[104.0, 595.0, 684.0, 620.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,True,True
1,7,text,【中图分类号】R445.2,"[105.0, 626.0, 295.0, 652.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,True
1,8,text,【文献标识码】A,"[452.0, 626.0, 600.0, 652.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,True
1,9,text,DOI:10.20267/j.issn.2096-3807.2025.10.002,"[768.0, 628.0, 1127.0, 651.0]",frontmatter_noise,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,unknown_like,none,False,False
1,10,doc_title,Analysis of the application value of MRI examination in the diagnosis of frozen shoulder,"[97.0, 708.0, 789.0, 733.0]",paper_title,0.6,"[""page-1 frontmatter title guard: Analysis of the application value of MRI examination in the ""]",paper_title,0.6,frontmatter_main_zone,support_like,none,True,True
1,11,text,"QIAO Zukang $ ^{1} $, DAI Chengwei $ ^{2} $, XU Haipeng $ ^{1} $, XIONG Junlong $ ^{1} $, ZHAO Shenyang $ ^{1} $, CHANG Hongsheng $ ^{1} $ (Corresponding author)","[96.0, 738.0, 1127.0, 766.0]",frontmatter_support,0.78,"[""first-surviving-page support text: QIAO Zukang $ ^{1} $, DAI Chengwei $ ^{2} $, XU Haipeng $ ^{""]",frontmatter_support,0.78,frontmatter_main_zone,support_like,none,True,True
1,12,text," $ ^{1} $ veng $ ^{1} $, XIONG Junlong $ ^{1} $, ZHAO Shenyang $ ^{1} $, CHANG Hongsheng $ ^{1} $ (Corresponding author)

1 Department of Medical Imaging, The First Affiliated Hospital of Zhejiang Uni","[97.0, 739.0, 1127.0, 825.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{1} $ veng $ ^{1} $, XIONG Junlong $ ^{1} $, ZHAO Shenyan""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,13,text,"2 The Third Clinical Medical College, Zhejiang Chinese Medical University, Hangzhou, Zhejiang 310035, China","[96.0, 833.0, 971.0, 858.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: 2 The Third Clinical Medical College, Zhejiang Chinese Medic""]",affiliation,0.8,frontmatter_main_zone,reference_like,reference_numeric_dot,True,True
1,14,abstract,【Abstract】Objective To explore the clinical and imaging diagnostic value of MRI shoulder joint in frozen shoulder (FS). Methods A total of 30 FS patients in the frozen stage admitted to the First Affi,"[94.0, 863.0, 1131.0, 1264.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,15,text,【Key words】Frozen shoulder; Magnetic resonance imaging; Coracohumeral ligament; Axillary recess; Inferior glenohumeral ligaments; Diagnostic value,"[96.0, 1270.0, 1126.0, 1326.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,True,True
1,16,text,冻结肩（frozen shoulder，FS）也称粘连性肩关节囊炎，是一种以肩关节囊进行性纤维化和韧带挛缩为特点的疾病，其典型特征包括关节囊和韧带的增厚以及肩关节腔体积的减小 $ ^{[1]} $。研究显示，FS的高发年龄段在50岁左右，总体发病率为2%～5%，女性发病率略高于男性，且以左肩更常见 $ ^{[2]} $。FS的诊断主要依据临床观察到的体征和症状，主要包括肩关节的广泛疼痛和运动功能受,"[98.0, 1389.0, 597.0, 1446.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,True,True
1,17,text,"病，其典型特征包括关节囊和韧带的增厚以及肩关节腔
体积的减小 [1]。研究显示，FS 的高发年龄段在50 岁左
右，总体发病率为2% ～5%，女性发病率略高于男性，
且以左肩更常见 [2]。FS 的诊断主要依据临床观察到的体
征和症状，主要包括肩关节的广泛疼痛和运动功能受限","[622.0, 1388.0, 1128.0, 1541.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,empty,False,True
1,18,footnote,基金项目：浙江省医药卫生科技计划项目（2023KY855）；浙江省中医药科技计划项目（2024ZL422）。,"[97.0, 1487.0, 597.0, 1539.0]",footnote,0.7,"[""footnote label: \u57fa\u91d1\u9879\u76ee\uff1a\u6d59\u6c5f\u7701\u533b\u836f\u536b\u751f\u79d1\u6280\u8ba1\u5212\u9879\u76ee\uff082023KY855\uff09\uff1b\u6d59\u6c5f\u7701\u4e2d\u533b\u836f\u79d1\u6280\u8ba1\u5212\u9879\u76ee\uff082024ZL422\uff09\u3002""]",footnote,0.7,frontmatter_main_zone,support_like,none,True,True
1,19,number,4,"[100.0, 1568.0, 118.0, 1589.0]",noise,0.9,"[""page number label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
2,0,header,影像研究与医学应用 2025年5月 第9卷第10期,"[379.0, 85.0, 852.0, 110.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
2,1,header,论 著,"[1052.0, 87.0, 1122.0, 112.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
2,2,text,"情况。根据2014年国际关节镜、膝关节外科和骨科运动医学学会（International Society of Arthroscopy, Knee Surgery and Orthopaedic Sports Medicine, ISAKOS）上肢委员会制定的标准，肩部活动受限的具体指标包括前屈活动度不足100°、外旋小于10°及内旋未能达到L5水平 $ ^{[3]} $。尽管这些标准已在临床中得","[95.0, 139.0, 601.0, 819.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,,unknown_like,none,True,True
2,3,paragraph_title,1 资料与方法 1.1 一般资料,"[98.0, 827.0, 267.0, 883.0]",non_body_insert,0.6,"[""unnumbered paragraph_title, inferred level subsection_heading: 1 \u8d44\u6599\u4e0e\u65b9\u6cd5 1.1 \u4e00\u822c\u8d44\u6599""]",subsection_heading,0.6,reference_zone,reference_like,reference_numeric_dot,False,True
2,4,footer,,"[137.0, 860.0, 267.0, 883.0]",noise,0.9,"[""footer label""]",noise,0.9,frontmatter_main_zone,support_like,empty,False,False
2,5,text,选取浙江中医药大学附属第一医院2022年8月—2023年8月收治的处于冻结期的30例FS患者作为观察组，另选取同期30名健康成人作为对照组（未报告任何肩部疼痛，且肩关节活动范围正常）。观察组男11例，女19例；年龄44～64岁，平均（53.97±5.19）岁；其中右肩患病者16例，左肩14例。对照组男11名，女19名；年龄40～66岁，平均（52.93±7.33）岁。两组的一般资料比较，差异无统计,"[95.0, 893.0, 599.0, 1211.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,,unknown_like,none,True,True
2,6,text,纳入标准：（1）观察组患者符合 ISAKOS 对 FS 的诊断标准 $ ^{[3]} $；（2）年龄＞18 岁；（3）观察组患者存在肩关节周围广泛性疼痛；（4）观察组患者病程超过 3 个月，处于冻结期；（5）接受肩部 MRI 检查。排除标准：（1）有肩部手术史；（2）有类风湿性关节炎病史；（3）存在全层肩袖撕裂；（4）在 6 周内接受过关节内类固醇注射；（5）合并严重基础性疾病，一般情况较差。,"[95.0, 1220.0, 599.0, 1441.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,,unknown_like,none,True,True
2,7,paragraph_title,1.2 方法,"[138.0, 1448.0, 228.0, 1472.0]",non_body_insert,0.6,"[""unnumbered paragraph_title, inferred level subsection_heading: 1.2 \u65b9\u6cd5""]",subsection_heading,0.6,,heading_like,short_fragment,False,True
2,8,text,MRI 检查：采用美国 GE 3.0T Discovery MR 750 扫描仪（GE Healthcare）。患者取仰卧中立位，上肢自然伸直并置于体侧，掌心朝向躯体，拇指朝上。扫描范围为肩锁关节水平至腋窝下缘。成像方位包括横断面、斜冠状面和斜矢状面 3 个方向的 FSE T₁WI 及 T₂WI 抑脂序列，扫描层厚设置为 4.0 mm，层间距为 4.5 mm。获取矢状位和冠状位 T₂ 加权图像，其,"[95.0, 1481.0, 600.0, 1539.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,,unknown_like,none,True,True
2,9,text,"自然伸直并置于体侧，掌心朝向躯体，拇指朝上。扫
描范围为肩锁关节水平至腋窝下缘。成像方位包括横
断面、斜冠状面和斜矢状面3 个方向的FSE T1WI 及
T2WI 抑脂序列，扫描层厚设置为4.0 mm，层间距为
4.5 mm。获取矢状位和冠状位T2 加权图像，其中切片
厚度＜3 mm，交叉间隙为0.9 mm。扫描参数设置：
TR/TE=4 010 ms/76 ms，FOV 为150 mm×150 ","[622.0, 141.0, 1127.0, 394.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,,unknown_like,empty,False,True
