page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,Review Article,"[490.0, 68.0, 690.0, 96.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,1,doc_title,"Minced Articular Cartilage—Basic Science, Surgical Technique, and Clinical Application","[135.0, 186.0, 1042.0, 276.0]",paper_title,0.8,"[""page-1 zone title_zone: Minced Articular Cartilage\u2014Basic Science, Surgical Technique""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,2,text,"Frank McCormick, MD,* Adam Yanke, BS,† Matthew T. Provencher, MD, LCDR, MC, USN,* and Brian J. Cole, MD†","[100.0, 295.0, 1076.0, 350.0]",authors,0.8,"[""page-1 zone author_zone: Frank McCormick, MD,* Adam Yanke, BS,\u2020 Matthew T. Provencher""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,3,abstract,"Abstract: Minced articular cartilage procedures are attractive surgical approaches for repairing articular cartilage, as they are l-staged, autologous, and inserted on a carrier that can potentially b","[76.0, 429.0, 575.0, 651.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,4,text,"Key Words: minced articular cartilage, cartilage autograft implantation system, DeNovo natural tissue grafting","[75.0, 661.0, 574.0, 706.0]",frontmatter_noise,0.7,"[""keyword-like block: Key Words: minced articular cartilage, cartilage autograft i""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,5,text,(Sports Med Arthrosc Rev 2008;16:217–220),"[76.0, 716.0, 424.0, 740.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,6,text,"Articular cartilage is a thin layer of highly specialized connective tissue that permits smooth, nearly frictionless movement and load-bearing force distribution throughout joints. Although these prop","[73.0, 784.0, 575.0, 1049.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,7,text,"Cartilage defects are characterized according to the depth and linear size. $ ^{6,7} $ Partial thickness defects resemble clefts and fissures and do not heal spontaneously. This failure is thought to ","[72.0, 1049.0, 577.0, 1271.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,8,text,,"[598.0, 410.0, 1102.0, 675.0]",ocr_text_missing,0.8,"[""ocr detected text region (raw_label=text) but no text extracted; no pdf backfill available""]",ocr_text_missing,0.8,frontmatter_main_zone,support_like,empty,True,True
1,9,text,"Each year it is estimated that chondral lesions affect up to 900,000 individuals in the United States resulting in over 200,000 surgical procedures annually. $ ^{14} $ Noninvasive attempts to treat ca","[599.0, 675.0, 1102.0, 1027.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,10,text,"As previously discussed, fibrocartilage cannot withstand the demands of articular cartilage over a long period of time. Successful treatment with this technique requires optimal patient and defect sel","[598.0, 1027.0, 1102.0, 1355.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,11,text,"Finally, ACI, a first-generation option for cell-based treatment of chondral defects is a 2-staged procedure, technically difficult, expensive, and has a high reoperation rate. Because of the inherent","[599.0, 1355.0, 1101.0, 1443.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,12,footnote,"From the *Department of Orthopaedic Surgery, Naval Medical Center, San Diego, CA; and †Department of Orthopaedic Surgery, Cartilage Restoration Center, Rush University, Chicago, IL.","[76.0, 1314.0, 575.0, 1373.0]",footnote,0.7,"[""footnote label: From the *Department of Orthopaedic Surgery, Naval Medical C""]",footnote,0.7,body_zone,body_like,none,True,True
