page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,JAMA Network | Open™,"[91.0, 46.0, 346.0, 101.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,1,header_image,,"[1094.0, 52.0, 1127.0, 97.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,2,text,Original Investigation | Health Informatics,"[91.0, 140.0, 414.0, 163.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,True,True
1,3,doc_title,"Sepsis Prediction Model for Determining Sepsis vs SIRS, qSOFA, and SOFA","[90.0, 166.0, 1023.0, 202.0]",paper_title,0.8,"[""page-1 zone title_zone: Sepsis Prediction Model for Determining Sepsis vs SIRS, qSOF""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,4,text,"Adam R. Schertz, MD, MS; Kristin M. Lenoir, MPH; Alain G. Bertoni, MD, MPH; Beverly J. Levine, PhD; Morgana Mongraw-Chaffin, PhD; Karl W. Thomas, MD","[90.0, 215.0, 1040.0, 238.0]",unknown_structural,0.8,"[""page-1 zone author_zone: Adam R. Schertz, MD, MS; Kristin M. Lenoir, MPH; Alain G. Be""]",authors,0.8,body_zone,reference_like,citation_line,False,True
1,5,paragraph_title,Abstract,"[91.0, 284.0, 182.0, 309.0]",abstract_heading,0.95,"[""abstract heading""]",abstract_heading,0.95,frontmatter_main_zone,heading_like,short_fragment,True,True
1,6,abstract,IMPORTANCE The Sepsis Prediction Model (SPM) is a proprietary decision support tool created by Epic Systems; it generates a predicting sepsis score (PSS). The model has not undergone validation agains,"[89.0, 328.0, 787.0, 460.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,7,text,"OBJECTIVE To assess the validity and timeliness of the SPM compared with SIRS, qSOFA, and SOFA.","[90.0, 484.0, 794.0, 510.0]",frontmatter_noise,0.7,"[""keyword-like block: OBJECTIVE To assess the validity and timeliness of the SPM c""]",frontmatter_noise,0.7,frontmatter_main_zone,support_like,none,False,False
1,8,text,"DESIGN, SETTING, AND PARTICIPANTS This retrospective cohort study included all adults admitted to 5 acute care hospitals in a single US health system between June 5, 2019, and December 31, 2020. Data ","[90.0, 537.0, 793.0, 615.0]",unknown_structural,0.8,"[""page-1 zone author_zone: DESIGN, SETTING, AND PARTICIPANTS This retrospective cohort ""]",authors,0.8,body_zone,body_like,none,False,True
1,9,text,"MAIN OUTCOMES AND MEASURES A sepsis event was defined as receipt of 4 or more days of antimicrobials, blood cultures collected within ±48 hours of initial antimicrobial, and at least 1 organ dysfuncti","[89.0, 640.0, 796.0, 745.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,10,text,"RESULTS Of 60 507 total admissions, 1663 (2.7%) met sepsis criteria, with 1324 electronic health record-confirmed sepsis (699 [52.8%] male patients; 298 [22.5%] Black patients; 46 [3.5%] Hispanic/Lati","[88.0, 770.0, 792.0, 1135.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,11,text,"CONCLUSIONS AND RELEVANCE In this cohort study of hospital admissions, balanced accuracy of the SPM outperformed other models at higher threshold PSS; however, application of the SPM in a clinical set","[89.0, 1159.0, 791.0, 1263.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,12,paragraph_title,Key Points,"[845.0, 288.0, 936.0, 312.0]",paper_title,0.7,"[""unnumbered paragraph_title in title zone on page 1: Key Points""]",paper_title,0.7,frontmatter_main_zone,support_like,short_fragment,True,True
1,13,text,Question Does the Sepsis Prediction Model (SPM) outperform other sepsis prediction scores with respect to validity and timeliness?,"[844.0, 318.0, 1117.0, 419.0]",structured_insert_candidate,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,False,False
1,14,text,Findings This cohort study of 60 507 adult admissions found that although balanced accuracy of the SPM at a predicting sepsis score (PSS) threshold of 8 or greater was better than that of the quick Se,"[844.0, 432.0, 1112.0, 743.0]",authors,0.8,"[""page-1 zone author_zone: Findings This cohort study of 60 507 adult admissions found ""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,15,text,"Meaning While the balanced accuracy of the SPM was better than qSOFA, SOFA, and SIRS at higher-threshold PSS, it had poor timeliness for sepsis prediction.","[844.0, 754.0, 1114.0, 884.0]",structured_insert_candidate,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,False,False
1,16,text,✗ Invited Commentary,"[835.0, 920.0, 1002.0, 945.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,17,text,Supplemental content,"[835.0, 958.0, 1012.0, 982.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
