page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header,Ahmad R. Acromion Shape and Degenerative Changes of the Acromioclavicular Joint as Risk Factors for Sub-Acromial Impingement Syndrome. Orthopedic Reviews. 2025;17. doi:10.52965/001c.141407,"[591.0, 28.0, 1082.0, 81.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,reference_like,citation_line,False,False
1,1,text,General,"[104.0, 109.0, 182.0, 136.0]",unknown_structural,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,True
1,2,doc_title,Acromion Shape and Degenerative Changes of the Acromioclavicular Joint as Risk Factors for Sub-Acromial Impingement Syndrome,"[103.0, 146.0, 924.0, 264.0]",paper_title,0.8,"[""page-1 zone title_zone: Acromion Shape and Degenerative Changes of the Acromioclavic""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,3,text,Rani Ahmad $ ^{1} $,"[104.0, 273.0, 218.0, 297.0]",authors,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,True,True
1,4,text,"1 Radiology Department, King Abdulaziz University Hospital, King Abdulaziz University, Jeddah, Saudi Arabia
Keywords: Subacromial impingement syndrome (SAIS), shoulder, tendinopathy, supraspinatus
htt","[102.0, 304.0, 809.0, 381.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: 1 Radiology Department, King Abdulaziz University Hospital, ""]",frontmatter_noise,0.8,body_zone,reference_like,reference_numeric_dot,False,False
1,5,text,"Orthopedic Reviews
Vol. 17, 2025","[104.0, 406.0, 325.0, 467.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,frontmatter_main_zone,support_like,none,True,True
1,6,paragraph_title,Background,"[231.0, 501.0, 362.0, 528.0]",section_heading,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: Background""]",section_heading,0.5,body_zone,heading_like,short_fragment,True,True
1,7,abstract,"The widespread condition Subacromial impingement syndrome (SAIS) appears among the leading causes of shoulder pain, which restrict people in their daily routine activities and diminish their quality o","[231.0, 536.0, 951.0, 636.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,8,paragraph_title,Objective,"[232.0, 648.0, 337.0, 676.0]",section_heading,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: Objective""]",section_heading,0.5,body_zone,heading_like,short_fragment,True,True
1,9,abstract,The study aims to determine whether particular acromion shapes and different stages of AC joint degeneration significantly contribute to the risk of developing SAIS.,"[231.0, 682.0, 948.0, 734.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,10,paragraph_title,Methods,"[231.0, 747.0, 330.0, 772.0]",section_heading,0.9,"[""explicit scholarly heading: Methods""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
1,11,abstract,The retrospective study was conducted on 608 patients who underwent shoulder MRI between the period of 2017 to 2020. The Acromion type and AC joint degeneration severity were evaluated by using T1- or,"[229.0, 780.0, 933.0, 881.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,12,paragraph_title,Results,"[231.0, 894.0, 316.0, 920.0]",section_heading,0.9,"[""explicit scholarly heading: Results""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
1,13,abstract,"Type III acromion and mild AC joint degeneration were more frequently observed in SAIS patients, but these findings were not statistically significant (P-value =0.38). Results showed that supraspinatu","[228.0, 927.0, 957.0, 1028.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,14,paragraph_title,Conclusion,"[231.0, 1040.0, 355.0, 1066.0]",section_heading,0.9,"[""explicit scholarly heading: Conclusion""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
1,15,abstract,"Acromion shape together with AC joint degeneration did not produce significant effects on increasing the risk of developing SAIS. However, the rotator cuff pathologies combined with reduced subacromia","[228.0, 1074.0, 940.0, 1174.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,body_zone,body_like,none,True,True
1,16,paragraph_title,INTRODUCTION,"[104.0, 1200.0, 267.0, 1225.0]",section_heading,0.9,"[""explicit scholarly heading: INTRODUCTION""]",section_heading,0.9,body_zone,heading_like,canonical_section_name,True,True
1,17,text,The most prevalent cause of shoulder pain is subacromial impingement syndrome (SAIS). The pain and dysfunction in the shoulder joint are the primary symptoms of this syndrome. $ ^{1} $ SAIS represente,"[102.0, 1253.0, 586.0, 1473.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,18,text,The acromiohumeral distance measures the space between the humeral head and the acromion. This measurement is typically used to assess the size of the subacromial space and can be obtained through var,"[102.0, 1474.0, 587.0, 1574.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,19,text,"niques, including MRI, ultrasound, CT scans, and radi­
ographs.4 During MRI analysis, several anatomical struc­
tures within the subacromial space are identified. These
include the subacromial bursa, ","[600.0, 1197.0, 1088.0, 1442.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,20,text,"In most studies, two methods are commonly used for the classification of acromion shapes. In the first method, acromion types consist of the superior perspective that has been demonstrated: cobra (Typ","[601.0, 1443.0, 1088.0, 1567.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
