page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header_image,,"[70.0, 100.0, 139.0, 168.0]",non_body_insert,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,False
1,1,header,biomedicines,"[147.0, 113.0, 397.0, 159.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,short_fragment,False,False
1,2,header_image,,"[1030.0, 109.0, 1119.0, 168.0]",non_body_insert,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,False
1,3,text,Article,"[66.0, 207.0, 131.0, 231.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,4,doc_title,Piezoelectric Effect of Antibacterial Biomimetic Hydrogel Promotes Osteochondral Defect Repair,"[66.0, 232.0, 1016.0, 311.0]",paper_title,0.8,"[""page-1 zone title_zone: Piezoelectric Effect of Antibacterial Biomimetic Hydrogel Pr""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,text,"Jiahang Wu$^{1}$, Taijun Chen$^{1}$, Yingying Wang$^{1}$, Jiafan Bai$^{1}$, Chenwen Lao$^{1}$, Minyue Luo$^{1}$, Mingxia Chen$^{1}$, Wenzhen Peng$^{2}$, Wei Zhi$^{1}$, Jie Weng$^{1}$ and Jianxin Wang$","[65.0, 333.0, 1049.0, 387.0]",authors,0.8,"[""page-1 zone author_zone: Jiahang Wu$^{1}$, Taijun Chen$^{1}$, Yingying Wang$^{1}$, Ji""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,6,text,"Key Laboratory of Advanced Technologies of Materials, Ministry of Education, School of Materials Science and Engineering, Southwest Jiaotong University, Chengdu 610031, China; 1992380956@163.com (J.W.","[327.0, 427.0, 1110.0, 538.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Key Laboratory of Advanced Technologies of Materials, Minist""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
1,7,paragraph_title,check for updates,"[69.0, 781.0, 178.0, 818.0]",section_heading,0.5,"[""unnumbered paragraph_title on page 1 outside title zone: check for updates""]",section_heading,0.5,body_zone,unknown_like,short_fragment,True,True
1,8,text,"2 Chengdu Yikeda Biotechnology Co., Ltd., Chengdu 610095, China; halishengwu@163.com","[327.0, 536.0, 998.0, 558.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: 2 Chengdu Yikeda Biotechnology Co., Ltd., Chengdu 610095, Ch""]",affiliation,0.8,body_zone,reference_like,reference_numeric_dot,True,True
1,9,text,"Citation: Wu, J.; Chen, T.; Wang, Y.; Bai, J.; Lao, C.; Luo, M.; Chen, M.; Peng, W.; Zhi, W.; Weng, J.; et al. Piezoelectric Effect of Antibacterial Biomimetic Hydrogel Promotes Osteochondral Defect R","[66.0, 825.0, 293.0, 1038.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Citation: Wu, J.; Chen, T.; Wang, Y.; Bai, J.; Lao, C.; Luo,""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,10,text,"Academic Editors: Antonino Morabito and Mike Barbeck
Correspondence: jwang@swjtu.edu.cn; Tel.: +86-28-87634023","[67.0, 1052.0, 252.0, 1097.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Academic Editors: Antonino Morabito and Mike Barbeck\nCorresp""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,11,text,"g gy g
* Correspondence: jwang@swjtu.edu.cn; Tel.: +86-28-87634023","[327.0, 558.0, 795.0, 580.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: g gy g\n* Correspondence: jwang@swjtu.edu.cn; Tel.: +86-28-87""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,12,image,,"[69.0, 1313.0, 185.0, 1354.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,body_zone,unknown_like,empty,True,True
1,13,text,Publisher's Note: MDPI stays neutral with regard to jurisdictional claims in published maps and institutional affiliations.,"[66.0, 1197.0, 307.0, 1289.0]",frontmatter_noise,0.88,"[""default body_paragraph for text label"", ""late role resolution: editorial phrase cross-validates non-body classification"", ""zone=body_zone"", ""style_family=support_like""]",body_paragraph,0.6,body_zone,support_like,none,False,False
1,14,text,"Received: 29 March 2022
Accepted: 9 May 2022
Published: 18 May 2022","[67.0, 1113.0, 227.0, 1183.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Received: 29 March 2022\nAccepted: 9 May 2022\nPublished: 18 M""]",frontmatter_noise,0.8,body_zone,body_like,none,False,False
1,15,text,"Copyright: © 2022 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) licen","[66.0, 1362.0, 309.0, 1551.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Copyright: \u00a9 2022 by the authors. Licensee MDPI, Basel, Swit""]",frontmatter_noise,0.8,body_zone,support_like,none,False,False
1,16,abstract,Abstract: The lack of vascular tissue and the low metabolism and biological activity of mature chondrocytes lead to the low regeneration ability of articular cartilage. People try to solve this proble,"[327.0, 608.0, 1123.0, 946.0]",abstract_body,0.85,"[""abstract label from Paddle OCR""]",abstract_body,0.85,frontmatter_main_zone,support_like,none,True,True
1,17,text,Keywords: piezoelectric effect; biomimetic hydrogel; antibacterial; cartilage tissue; tissue regeneration,"[327.0, 969.0, 1122.0, 995.0]",frontmatter_noise,0.7,"[""frontmatter noise text: Keywords: piezoelectric effect; biomimetic hydrogel; antibac""]",frontmatter_noise,0.7,body_zone,body_like,none,False,False
1,18,paragraph_title,1. Introduction,"[329.0, 1069.0, 473.0, 1092.0]",section_heading,0.85,"[""paragraph_title label with numbering: 1. Introduction""]",section_heading,0.85,body_zone,heading_like,heading_numbered,True,True
1,19,text,"Articular cartilage is one of the connective tissues in the skeletal system. However, due to the fact that cartilage is an avascular tissue, the metabolism and biological activity of mature chondrocyt","[325.0, 1100.0, 1124.0, 1199.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,20,text,"Although the known surgical treatment for cartilage disease has a certain effect, it cannot completely repair the damaged defect. Therefore, to improve the quality of treatment, it is necessary to see","[324.0, 1200.0, 1124.0, 1326.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,21,text,"Because of its good biocompatibility and low immune response, hydrogels are a promising biomaterial for osteochondral tissue engineering. Pulkkinen et al. demonstrated that type II collagen hydrogels ","[324.0, 1327.0, 1126.0, 1554.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
1,22,footer,"Biomedicines 2022, 10, 1165. https://doi.org/10.3390/biomedicines10051165","[67.0, 1625.0, 607.0, 1647.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
1,23,footer,https://www.mdpi.com/journal/biomedicines,"[777.0, 1625.0, 1122.0, 1648.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,none,False,False
2,0,header,"Biomedicines 2022, 10, 1165","[68.0, 111.0, 258.0, 131.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_side_zone,support_like,none,False,False
2,1,header,2 of 19,"[1068.0, 111.0, 1121.0, 131.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,reference_like,reference_numeric_dot,False,False
2,2,text,"and the surrounding host bone and the same thickness of the new cartilage as that of the host cartilage were realized at 12 weeks postoperatively [3]. However, traditional hydrogels lack the function ","[324.0, 193.0, 1124.0, 493.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,3,text,"Inspired by the piezoelectric effect of collagen in cartilage tissue [9,10], this work would focus on the design of a biomimetic hydrogel by introducing piezoelectric materials into hydrogel to endow ","[325.0, 493.0, 1125.0, 871.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,4,text,"Although PVA has been proven to be able to be used in the repair of osteochondral defects in previous work, due to its low biodegradability and bioactivity only pure PVA hydrogel cannot obtain good os","[324.0, 870.0, 1125.0, 1197.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,5,paragraph_title,2. Materials and Methods 2.1. Materials,"[328.0, 1217.0, 569.0, 1265.0]",section_heading,0.85,"[""paragraph_title label with numbering: 2. Materials and Methods 2.1. Materials""]",section_heading,0.85,body_zone,heading_like,heading_numbered,True,True
2,6,footer,,"[329.0, 1243.0, 452.0, 1265.0]",noise,0.9,"[""footer label""]",noise,0.9,body_zone,body_like,empty,False,False
2,7,text,"Sodium chloride (NaCl, >98.0%), Dimethyl sulfoxide (DMSO, >98.0%), Silver nitrate (AgNO₃, 99%), Absolute ethanol (99%), Calcium nitrate tetrahydrate (Ca(NO₃)₂·4H₂O), Ammonium phosphate ((NH₄)₂HPO₄), A","[327.0, 1274.0, 1124.0, 1449.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
2,8,paragraph_title,2.2. Preparation of Hydrogels,"[328.0, 1469.0, 575.0, 1494.0]",subsection_heading,0.85,"[""paragraph_title label with numbering: 2.2. Preparation of Hydrogels""]",subsection_heading,0.85,body_zone,heading_like,heading_numbered,True,True
2,9,text,"PVA/PVDF piezoelectric hydrogel was prepared using a two-step method. First, 60 mL DMSO and 40 mL distilled water were mixed into a solvent, and 7.5 g PVA and 7.5 g","[327.0, 1500.0, 1124.0, 1550.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,0,header,"Biomedicines 2022, 10, 1165","[68.0, 111.0, 258.0, 131.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
3,1,header,3 of 19,"[1068.0, 111.0, 1121.0, 131.0]",noise,0.9,"[""header label""]",noise,0.9,,reference_like,reference_numeric_dot,False,False
3,2,text,"PVDF were dissolved in this solvent. The mixture was stirred for 6 h at 92 °C until the suspension solution became homogeneous. Subsequently, the solution was poured into the mold, frozen, and thawed ","[327.0, 191.0, 1122.0, 294.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,3,paragraph_title,2.3. Preparation of Nano-HA,"[328.0, 312.0, 572.0, 337.0]",subsection_heading,0.85,"[""paragraph_title label with numbering: 2.3. Preparation of Nano-HA""]",subsection_heading,0.85,body_zone,heading_like,heading_numbered,True,True
3,4,text,"The synthesis of nano-HA was based on the method reported previously [16]. 11.8 g calcium nitrate tetrahydrate (Ca(NO₃)₂·4H₂O) was dissolved in 100 mL DD water, and 3.95 g ammonium phosphate ((NH₄)₂HP","[325.0, 344.0, 1125.0, 570.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,5,paragraph_title,2.4. Preparation of Silver Nanowires,"[328.0, 589.0, 632.0, 613.0]",subsection_heading,0.85,"[""paragraph_title label with numbering: 2.4. Preparation of Silver Nanowires""]",subsection_heading,0.85,body_zone,heading_like,heading_numbered,True,True
3,6,text,"The preparation method of silver nanowires (Ag-NWs) is based on the ethylene glycol system reported previously [17], and the specific operation process is as follows: 70 mL PVP (K30) glycol solution w","[326.0, 620.0, 1125.0, 847.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,7,paragraph_title,2.5. Preparation of Bi-Layer Hydrogel,"[328.0, 865.0, 643.0, 890.0]",subsection_heading,0.85,"[""paragraph_title label with numbering: 2.5. Preparation of Bi-Layer Hydrogel""]",subsection_heading,0.85,body_zone,heading_like,heading_numbered,True,True
3,8,text,The preparation process of the bi-layer hydrogel is as follows. The preparation method of osteogenic layer and chondrogenic layer is similar to that of single layer hydrogel; 0.6 g of Ag-NWs was added,"[325.0, 897.0, 1124.0, 1100.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
3,9,paragraph_title,2.6. Characterization of Materials,"[329.0, 1117.0, 609.0, 1141.0]",subsection_heading,0.85,"[""paragraph_title label with numbering: 2.6. Characterization of Materials""]",subsection_heading,0.85,body_zone,heading_like,heading_numbered,True,True
3,10,text,"The composite mechanism of the sample was analyzed using a Fourier transform infrared spectrometer (FT-IR, PerkinElmer, Waltham, MA, USA). The compressive stress of the hydrogels was measured by a uni","[326.0, 1149.0, 1124.0, 1503.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,0,header,"Biomedicines 2022, 10, 1165","[68.0, 111.0, 258.0, 132.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
4,1,number,4 of 19,"[1069.0, 111.0, 1121.0, 131.0]",noise,0.9,"[""page number label""]",noise,0.9,,reference_like,reference_numeric_dot,False,False
4,2,paragraph_title,2.7. Cytocompatibility,"[328.0, 191.0, 518.0, 217.0]",subsection_heading,0.85,"[""paragraph_title label with numbering: 2.7. Cytocompatibility""]",subsection_heading,0.85,body_zone,heading_like,heading_numbered,True,True
4,3,text,The cytocompatibility of the hydrogel samples was evaluated through the co-culture of L929 cells with PVA/HA hydrogel and PVA/PVDF/Ag/HA hydrogel. These L929 cells co-cultured with PBS were set as the,"[326.0, 224.0, 1124.0, 399.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,4,paragraph_title,2.8. Hemolysis Assay,"[329.0, 418.0, 511.0, 442.0]",subsection_heading,0.85,"[""paragraph_title label with numbering: 2.8. Hemolysis Assay""]",subsection_heading,0.85,body_zone,heading_like,heading_numbered,True,True
4,5,text,"The hydrogel samples with a diameter of 5 mm and a height of 2~3 mm were prepared. The rabbit blood was centrifuged at 1500 rpm for 15 min at 4 °C, rinsed with PBS, and the cycle was repeated three ti","[325.0, 448.0, 1125.0, 755.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,6,paragraph_title,2.9. Degradation Experiment of Hydrogel,"[329.0, 770.0, 673.0, 796.0]",subsection_heading,0.85,"[""paragraph_title label with numbering: 2.9. Degradation Experiment of Hydrogel""]",subsection_heading,0.85,body_zone,heading_like,heading_numbered,True,True
4,7,text,The degradation test was performed in 30 mL PBS (pH = 7.4) or PBS/trypsin solution. The weighed samples were immersed in a certain medium and incubated in a thermostatic bath at 37 °C. At predetermine,"[326.0, 801.0, 1126.0, 979.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,8,paragraph_title,2.10. Antibacterial Test,"[328.0, 997.0, 526.0, 1020.0]",subsection_heading,0.85,"[""paragraph_title label with numbering: 2.10. Antibacterial Test""]",subsection_heading,0.85,body_zone,heading_like,heading_numbered,True,True
4,9,text,"Gram-positive S. aureus and Gram-negative E. coli were used to evaluate the antibacterial properties of the hydrogel samples. The hydrogel samples with 3~4 mm height, 10 mm diameter were used as the e","[327.0, 1029.0, 1125.0, 1332.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
4,10,paragraph_title,2.11. Animal Model and Histological Analysis,"[328.0, 1349.0, 713.0, 1374.0]",subsection_heading,0.85,"[""paragraph_title label with numbering: 2.11. Animal Model and Histological Analysis""]",subsection_heading,0.85,body_zone,heading_like,heading_numbered,True,True
4,11,text,"All surgical procedures and subsequent animal care were approved by Ethics Committee of State Key Laboratory of Oral Diseases, West China Hospital of Stomatology (Approval Code: SKLODLL2013A86; Approv","[326.0, 1380.0, 1124.0, 1558.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
5,0,header,"Biomedicines 2022, 10, 1165","[67.0, 110.0, 259.0, 132.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
5,1,number,5 of 19,"[1069.0, 110.0, 1121.0, 132.0]",noise,0.9,"[""page number label""]",noise,0.9,,reference_like,reference_numeric_dot,False,False
5,2,text,"the rabbit was shaved, sterilized using iodine solution, and draped in a sterile manner, followed by an arthrotomy of the knee joint performed by an anterior medial parapatellar incision, and an opera","[324.0, 192.0, 1125.0, 571.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
5,3,figure_title,Table 1. Cartilage Repair Assessment ICRS.,"[327.0, 593.0, 681.0, 619.0]",table_caption,0.9,"[""table prefix matched: Table 1. Cartilage Repair Assessment ICRS.""]",table_caption,0.9,display_zone,table_caption_like,table_number,True,True
5,4,table,"<table><tr><td>Scoring Items</td><td>Index Parameters</td><td>Score</td></tr><tr><td rowspan=""5"">Degree of Defect Repair</td><td>Complete repair of defect depth</td><td>4</td></tr><tr><td>75% repair o","[330.0, 626.0, 1121.0, 1329.0]",table_html,0.85,"[""media label: table""]",media_asset,0.85,body_zone,body_like,none,True,True
5,5,text,"The H&E staining procedure is briefly described as follows: The tissue sections were incubated in the hematoxylin solution at 37 °C for 5 min, rinsed with water for 1 min to remove excess hematoxylin,","[326.0, 1360.0, 1123.0, 1485.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
5,6,text,The toluidine blue staining procedure is briefly described as follows: The tissue sections were incubated in 0.2% toluidine blue solution for 10 min and rinsed with water for 3 s.,"[326.0, 1486.0, 1124.0, 1561.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
6,0,header,"Biomedicines 2022, 10, 1165","[67.0, 111.0, 259.0, 132.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
6,1,number,6 of 19,"[1069.0, 111.0, 1121.0, 131.0]",noise,0.9,"[""page number label""]",noise,0.9,,reference_like,reference_numeric_dot,False,False
6,2,figure_title,Table 2. Histological scoring system for evaluating osteochondral defects.,"[326.0, 192.0, 920.0, 215.0]",table_caption,0.9,"[""table prefix matched: Table 2. Histological scoring system for evaluating osteocho""]",table_caption,0.9,display_zone,table_caption_like,table_number,True,True
6,3,table,"<table><tr><td>Scoring Items</td><td>Index Parameters</td><td>Score</td></tr><tr><td colspan=""3"">(a) Overall Defects Evaluation</td></tr><tr><td rowspan=""4"">1. Percent Filling With Newly Formed Tissue","[325.0, 225.0, 1123.0, 1428.0]",table_html,0.85,"[""media label: table""]",media_asset,0.85,body_zone,body_like,none,True,True
6,4,paragraph_title,2.12. Statistical Analysis,"[328.0, 1454.0, 541.0, 1480.0]",subsection_heading,0.85,"[""paragraph_title label with numbering: 2.12. Statistical Analysis""]",subsection_heading,0.85,body_zone,heading_like,heading_numbered,True,True
6,5,text,"All data are presented as mean ± standard deviation. Student’s test was used to compare the data between two groups, and one-way analysis of variance (ANOVA) was used for statistical tests for compari","[326.0, 1487.0, 1124.0, 1564.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
7,0,header,"Biomedicines 2022, 10, 1165","[67.0, 111.0, 259.0, 132.0]",noise,0.9,"[""header label""]",noise,0.9,body_zone,body_like,none,False,False
7,1,number,7 of 19,"[1068.0, 110.0, 1121.0, 131.0]",noise,0.9,"[""page number label""]",noise,0.9,,reference_like,reference_numeric_dot,False,False
7,2,text,"than 0.05, the difference was considered statistically significant. The displayed error bars represent the standard deviation (SD).","[326.0, 191.0, 1122.0, 243.0]",body_paragraph,0.6,"[""default body_paragraph for text label""]",body_paragraph,0.6,body_zone,body_like,none,True,True
