page,block_id,raw_label,content_preview,bbox,role,role_confidence,evidence,seed_role,seed_confidence,zone,style_family,marker_type,render_default,index_default
1,0,header_image,,"[71.0, 94.0, 140.0, 161.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,1,header,"Journal of
Clinical Medicine","[146.0, 102.0, 339.0, 156.0]",noise,0.9,"[""header label""]",noise,0.9,frontmatter_main_zone,support_like,none,False,False
1,2,header_image,,"[1030.0, 103.0, 1120.0, 161.0]",unknown_structural,0.2,"[""unrecognized label 'header_image'""]",unknown_structural,0.2,frontmatter_main_zone,support_like,empty,False,True
1,3,text,Article,"[67.0, 201.0, 131.0, 225.0]",non_body_insert,0.3,"[""short text, uncertain role""]",unknown_structural,0.3,frontmatter_main_zone,support_like,short_fragment,False,False
1,4,doc_title,MR Imaging Biomarkers for Clinical Impairment and Disease Progression in Patients with Shoulder Adhesive Capsulitis: A Prospective Study,"[67.0, 226.0, 1088.0, 344.0]",paper_title,0.8,"[""page-1 zone title_zone: MR Imaging Biomarkers for Clinical Impairment and Disease Pr""]",paper_title,0.8,frontmatter_main_zone,support_like,none,True,True
1,5,text,"Romain Gillet $ ^{1,*} $, François Zhu $ ^{1} $, Pierre Padoin $ ^{1} $, Aymeric Rauch $ ^{1} $, Gabriela Hossu $ ^{2} $, Pedro Augusto Gondim Teixeira $ ^{1} $ and Alain Blum $ ^{1} $","[66.0, 373.0, 856.0, 426.0]",authors,0.8,"[""page-1 zone author_zone: Romain Gillet $ ^{1,*} $, Fran\u00e7ois Zhu $ ^{1} $, Pierre Pado""]",authors,0.8,frontmatter_main_zone,support_like,none,True,True
1,6,text,"Guilloz Imaging Department, Central Hospital, University Hospital Center of Nancy, 54000 Nancy, France; f.zhu@chru-nancy.fr (F.Z.); pierre.padoin@gmail.com (P.P.); aym.rauch@gmail.com (A.R.); p.teixei","[327.0, 461.0, 1114.0, 529.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: Guilloz Imaging Department, Central Hospital, University Hos""]",affiliation,0.8,frontmatter_main_zone,support_like,none,True,True
1,7,text," $ ^{2} $ CIC-II, CHKU Nancy, Université de Lorraine, 54000 Nancy, France; g.hossu@chru-nancy.fr","[329.0, 526.0, 1004.0, 549.0]",affiliation,0.8,"[""page-1 zone affiliation_zone: $ ^{2} $ CIC-II, CHKU Nancy, Universit\u00e9 de Lorraine, 54000 N""]",affiliation,0.8,frontmatter_main_zone,support_like,affiliation_marker,True,True
1,8,image,,"[69.0, 729.0, 176.0, 766.0]",media_asset,0.85,"[""media label: image""]",media_asset,0.85,frontmatter_main_zone,support_like,empty,True,True
1,9,text,* Correspondence: r.gillet@chru-nancy.fr; Tel.: +33-3-83-85-21-61; Fax: +33-3-83-85-97-25,"[327.0, 549.0, 975.0, 570.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: * Correspondence: r.gillet@chru-nancy.fr; Tel.: +33-3-83-85-""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
1,10,text,"Citation: Gillet, R.; Zhu, F.; Padoin, P.; Rauch, A.; Hossu, G.; Teixeira, P.A.G.; Blum, A. MR Imaging Biomarkers for Clinical Impairment and Disease Progression in Patients with Shoulder Adhesive Cap","[66.0, 779.0, 309.0, 992.0]",frontmatter_noise,0.8,"[""page-1 zone journal_furniture_zone: Citation: Gillet, R.; Zhu, F.; Padoin, P.; Rauch, A.; Hossu,""]",frontmatter_noise,0.8,frontmatter_main_zone,support_like,none,False,False
